targetname,mjd_tdb,x,y,z,vx,vy,vz,a,q,Q,e,incl,Omega,w,M,nu,n,P,tp_mjd
594913 'Aylo'chaxnim (2020 AV2),59038.0,-0.3230829443280659,0.3751169160822253,0.1145751159370243,-0.01710361622550113,-0.01839051293167364,-0.004622647584005176,0.576365297609233,0.4682366071333017,0.6844939880851644,0.1876044427456855,15.69870891713644,6.16605214456323,183.3823234458694,317.4506643406565,300.178842055001,2.253972009664465,159.7180437274334,59056.87749070395
163693 Atira (2003 CP20),57255.0,0.4390475211813642,0.1530174001254589,-0.2204537482942459,-0.006437860581945699,0.02677634520244008,-9.025051422486264e-05,0.7534651810435242,0.5058586848660304,1.001071677221018,0.3286236742015963,25.46301271947905,103.9133931053392,253.4735944691848,10.28975854872485,21.31513081972876,1.507996987325907,238.7272673789481,57248.17653905507
(2010 TK7),56757.0,-0.3949515874100206,-0.9046576587404982,0.189299307226249,0.01297345877482713,-0.01026341821793153,-0.004472340144324559,1.001176129604831,0.808479063569891,1.193873195639771,0.1924706955518391,20.89590474321111,96.56772675688507,45.88668183340936,80.14138406087875,102.2398069415879,0.9845312953033696,365.6562282147374,56675.59945494495
3753 Cruithne (1986 TO),56900.0,1.217647759365585,0.3726569200471682,-0.4328137912512885,-0.007985836887730772,0.008947547505749357,0.0004164551955650885,0.998945055544114,0.4839432920262829,1.513946819061945,0.5155456355277874,19.79381091521206,126.2126725585828,43.73629936652405,249.6704070050333,208.1253867659546,0.9878314591617411,364.4346377726121,57011.68868127419
54509 YORP (2000 PH5),52655.0,0.4610410766074256,1.008772321285728,0.02107631326262628,-0.01496221948246759,0.003402558676564778,-0.0004466181478087324,0.9924426885607561,0.7598183629038197,1.225067014217692,0.2343957271671668,1.834222984169597,281.8352664618278,274.8309825337155,251.4460086030833,228.7578145342143,0.9975555757681738,360.8821490700203,52763.81999362586
2063 Bacchus (1977 HB),57270.0,0.08808120278541673,-1.433258272657669,-0.2073709188514047,0.01143420493209312,0.001378432599966684,-0.0008465330451093841,1.077085303943382,0.700266992801905,1.453903615084859,0.3498500163003661,9.431795361714506,33.13570296536032,55.65271559837338,189.8322123040201,185.0621716938259,0.8823077720788516,408.0208872599921,57462.866699219216
1221 Amor (1932 EA1),57836.0,-0.7341896057738554,1.189781436663902,-0.2233088048161477,-0.009891029818621321,-0.01256820585934383,0.002928176348443582,1.921472812571833,1.080437643866133,2.762507981277534,0.4377033925241963,11.86454329403875,171.1672235184509,27.07614947745704,326.9989874768011,282.824508684954,0.3702916248880468,972.2067035916397,57925.12168222293
433 Eros (A898 PA),53311.0,0.3782155884393346,1.143514561636573,0.1825907661721222,-0.0163996452394634,0.003011568922970477,-0.002263987446107873,1.457304243584987,1.130712681405043,1.783895805764931,0.2241066432198982,10.80889114870137,304.2627726295272,179.5167312537695,325.8109026145899,307.4250702828055,0.5606217090190952,642.1442377425632,53371.98425522121
3908 Nyx (1980 PA),54128.0,0.1906278791884931,-1.821959150388983,0.01723510390775531,0.01087611941481137,0.007094313215589889,0.0003703228393561756,1.915034627719113,1.039161139889761,2.790908115548465,0.4573669191938083,2.179202022021589,261.6584900926699,126.5951981871069,301.5280041887004,247.7292540755973,0.3721605272681708,967.32451085709,54285.114985407796
434 Hungaria (A898 RB),57011.0,1.101445867638972,-1.333504204329187,0.5132129006342873,0.01059552317283402,0.007272585751549822,-0.003358895949281069,1.948824279999934,1.802710540985754,2.094938019014115,0.07497532769562223,22.49418215522751,175.328116539775,123.4208698656652,7.336674095202022,8.54562919184258,0.3625235570843653,993.0389155820346,56990.76221420197
1876 Napolitania (1970 BA),57572.0,0.4167158709529418,1.863572367757164,0.594908318380925,-0.0112479393721667,0.002957719169366953,-0.003242721693529973,1.96867042786397,1.873315999996558,2.064024855731383,0.04843595277187809,23.07507595867126,304.3881742864298,242.489974492049,253.3638023542174,248.1436632501233,0.3570555013197823,1008.246613395772,57870.65440317197
2001 Einstein (1973 EB),57624.0,-1.104943432889753,-1.236228367801009,-0.5410560589033626,0.01031215950122765,-0.008273566362957133,-0.003237260204629454,1.917718242723746,1.737834976913359,2.097601508534133,0.09380067509547076,22.72659817919101,357.0336903374433,216.7672052357886,13.76553639443836,16.64871458698632,0.3713796100805826,969.3585491187482,57586.934054479934
2 Pallas (A802 FA),49991.0,-2.064956879753626,0.7099235460583502,-0.3176306761751772,-0.005712317771474514,-0.009143857328968781,0.006776030453753115,2.784459107322029,2.130760354309233,3.438157860334824,0.2347668713445372,34.76547884555732,173.1239974974029,310.393987706309,21.579374731761,34.98385497809515,0.2122677365604019,1695.971351244705,49889.33888521418
6 Hebe (A847 NA),50775.0,-2.30492608907293,-1.583370479009218,0.7137571055829367,0.00581243704194775,-0.007033222802458411,0.0003874795724916202,2.429973854472277,1.939782802707638,2.920164906236917,0.2017268831359898,14.76052801637572,138.84671364315,238.4977867742813,205.7442559209666,197.5978409807208,0.2603711457084933,1382.641686429607,51367.445617042016
6522 Aci (1991 NQ),57745.0,-0.5780008808885164,-1.743547707350644,-0.5089857547767109,0.01209906087038107,-0.005107662809206366,0.003615644018546323,2.363619062693965,1.906026880207231,2.821211245180699,0.1935981096569713,22.15019313183929,294.5570939170779,313.9297518085968,0.6481940519150431,0.9779124084672166,0.2714119900654597,1326.396818037311,57742.61177075608
10297 Lynnejones (1988 RJ13),57643.0,-0.9633539044990874,-2.205836598801243,-0.3020250035530467,0.01042362933696761,-0.00379481546862894,-0.002404140428770133,2.566433127606888,2.400658403155291,2.732207852058485,0.06459343228871753,14.44752332015156,37.26269516973663,243.9879070544136,329.9300118113115,325.9467906081446,0.2398834722495357,1500.728652224588,57768.352480129804
17032 Edlu (1999 FM9),57496.0,2.191908178073674,2.322381077125816,-0.08960042286273757,-0.007475156926758995,0.004815009993256484,0.0003032536303399266,2.786229262915124,2.135073192222781,3.437385333607467,0.2337051294950021,2.32983199458526,90.25593596361934,95.04346823538857,241.5801462373412,221.3324457477625,0.2120654808237949,1697.588870199596,58054.41173821688
202930 Ivezic (1998 SG172),57958.0,0.3551530632196502,2.633244426116275,0.2101727641392361,-0.01029720970878258,0.002784873718305938,2.023492464658206e-05,2.72969619058073,2.370640138520472,3.088752242640989,0.1315370015532282,4.548145270534578,346.2328748359693,8.859363299721805,72.2674861309087,87.20745065768264,0.2186874118622025,1646.185287641706,57627.53979876777
911 Agamemnon (A919 FB),57476.0,-2.960638261592842,-4.315451823546849,-2.041393510233446,0.005863970182116542,-0.003802059486826946,-0.0005339170028121456,5.256594170310092,4.895276888449099,5.617911452171084,0.06873600475033015,21.77999796859977,338.0644249618519,81.0428158554455,176.9188537251832,177.3086719749195,0.08183490483012858,4399.100857357646,55314.10033026291
1143 Odysseus (1930 BH),57755.0,-1.907815122964326,-5.315522529929012,0.1498123185520993,0.006419938127906131,-0.002625991412404901,0.0003408379410423791,5.228707467670603,4.747218704121444,5.710196231219762,0.09208561896534319,3.140402795686697,221.3423542668351,235.5580357452824,148.3585504476335,153.3922971594486,0.0824904623864184,4364.140890780994,55956.50662081782
1172 Aneas (1930 UA),57042.0,0.3450754456648963,5.623289567534854,-0.5544511956426514,-0.006614399048856249,0.0006356057097765263,-0.001901188266887793,5.206256257344404,4.655295121147418,5.75721739354139,0.1058267417051845,16.67382012752704,247.306045421269,51.03126556829127,142.2189929032177,148.9278147870434,0.08302462911597984,4336.062730218333,55329.02645928599
3317 Paris (1984 KF),57594.0,-2.892619582451303,5.031531566292622,-0.8434221134375587,-0.005266022117776878,-0.00275655557514917,0.002985907221942233,5.216450136438199,4.550299995204909,5.882600277671489,0.1277018132657047,27.8720341066916,135.8441875226554,150.3697577492392,194.9896285385087,191.7142490008865,0.08278138052806859,4348.804014906893,59587.32712753583
5145 Pholus (1992 AD),55372.0,-6.300082204369853,-21.31722647923253,7.326676181079645,0.001930840611657864,-0.002641762473621557,-0.0001785855732708376,20.32133614944647,8.685739716499544,31.9569325823934,0.5725802844545665,24.68773201792476,119.344134817165,354.7983940009751,73.73492693199847,136.6559754365532,0.01076630962718624,33437.64135214506,48523.32766144816
5335 Damocles (1991 DA),48587.0,0.2965254266912729,-2.724253366193718,-3.156601230219964,0.006019890906953216,-0.008464042073745369,-0.002944465351359192,11.74857358556145,1.5756533539033,21.9214938172196,0.8658855611340154,61.9266175954178,314.1181218490032,191.1108353164256,8.777942745970215,110.0371519209168,0.02449162173289723,14698.90413652954,48228.59405850293
15760 Albion (1992 QB1),56220.0,36.21341601010906,19.54354737908989,0.7599520584650935,-0.001244179222519977,0.002469287791783401,9.374420655251171e-05,43.93249952857084,40.88457617048572,46.98042288665598,0.06937741741971594,2.185516285988275,359.4132961819611,2.82810395151859,22.7872065993449,26.13097496400097,0.00338700927355488,106288.460090975,49492.174724391196
15788 (1993 SB),57437.0,15.99310775294213,21.91940156312433,0.7871758926874108,-0.003231601981247656,0.001961777664383043,5.625670814243481e-05,39.31666193446693,26.7450134777133,51.88831039122056,0.3197537084330321,1.937483945043127,354.8369282199114,79.15100973016801,350.0908372236485,339.9108065904132,0.004000647600395433,89985.43134976864,59913.88968540309
15789 (1993 SC),56742.0,30.58599004890861,21.35351664568995,2.175991971950328,-0.001213911920286245,0.002615234663374095,0.0002247836340772294,39.5273268815025,32.1875060660741,46.86714769693091,0.1856897846250057,5.156887918958337,354.6524192241262,316.9913356267332,62.70618857058979,83.39159781768583,0.003968707458996916,90709.63373324304,40941.84611653909
1I/'Oumuamua (A/2017 U1),58080.0,1.891160191883445,0.6875120603422388,0.258939713700702,0.0210594865646723,0.00390906388113403,0.008115600602499821,-1.274179276310088,0.2588464098486072,9.999999999999998e+99,1.20314755910817,123.0322316417721,24.77775430088773,242.0634043894981,51.23530887312704,126.6931222794189,0.685724157175505,9.999999999999998e+99,58005.28291684482
