targetname,mjd_tdb,x,y,z,vx,vy,vz,a,q,Q,e,incl,Omega,w,M,nu,n,P,tp_mjd
594913 'Aylo'chaxnim (2020 AV2),59038.0,-0.3230829443280659,0.2985876779261535,0.2543335536528545,-0.01710361622550113,-0.01503418211822077,-0.01155652216768241,0.5763652976092329,0.4682366071333016,0.6844939880851643,0.1876044427456855,39.08144395107524,2.642306328098925,187.2683734182007,317.4506643406564,300.178842055001,2.253972009664466,159.7180437274333,59056.87749070395
163693 Atira (2003 CP20),57255.0,0.4390476037320702,0.2280822729746895,-0.1413954537166788,-0.006437863268754088,0.02460271078777349,0.0105682163776594,0.753465178534764,0.5058587700855973,1.001071586983931,0.3286235588626376,29.60147507715417,57.65338669360798,304.8853806309207,10.28976359163938,21.31513482137117,1.507996994857514,238.7272661866379,57248.17653574515
(2010 TK7),56757.0,-0.3949515874100206,-0.9053061142562494,-0.1861734318436126,0.01297345877482713,-0.007637507367496675,-0.008185845166758271,1.001176129604831,0.808479063569891,1.193873195639771,0.1924706955518391,29.14774695381676,46.67583244305953,100.112272277414,80.14138406087875,102.2398069415879,0.9845312953033696,365.6562282147374,56675.59945494495
3753 Cruithne (1986 TO),56900.0,1.217647848945124,0.5140705296750883,-0.2488646868413224,-0.0079858423256313,0.008043540416868283,0.0039412232046201,0.9989450525270316,0.483942529685883,1.51394757536818,0.5155463972100833,19.46343443131138,55.08295497982775,118.1414708564441,249.6704364783836,208.1253573980406,0.9878314636370159,364.4346361215763,57011.68865093216
54509 YORP (2000 PH5),52655.0,0.4610410766074256,0.9171468335444076,0.4206037242968821,-0.01496221948246759,0.003299441047508975,0.000943695974046319,0.9924426885607561,0.7598183629038197,1.225067014217692,0.2343957271671668,23.87924465952751,355.5615770283042,200.7319714060795,251.4460086030833,228.7578145342143,0.9975555757681738,360.8821490700203,52763.81999362586
2063 Bacchus (1977 HB),57270.0,0.08808118502426183,-1.232501346917067,-0.760376485531607,0.01143420495519418,0.001601418677107449,-0.0002283698606737048,1.077085302997177,0.7002669917989938,1.45390361419536,0.3498500166603524,31.73451809129699,9.80548557037026,80.07043094290988,189.8322149612335,185.0621730623126,0.882307773241495,408.0208867223308,57462.86669595307
1221 Amor (1932 EA1),57836.0,-0.7341896105478951,1.180430264080736,0.2683860397312703,-0.009891029795149192,-0.01269586510551666,-0.002312796082832557,1.92147281238442,1.080437644358944,2.762507980409896,0.437703392212876,11.84851132418624,8.844646292625818,189.7701022404034,326.9989876461404,282.8245090105136,0.370291624942222,972.206703449402,57925.12168175308
433 Eros (A898 PA),53311.0,0.3782155884393346,0.9765236623490839,0.6223877227569156,-0.0163996452394634,0.003663622952888765,-0.0008792345494816585,1.457304243584987,1.130712681405043,1.783895805764931,0.2241066432198982,30.77232289621028,342.3660347241744,139.5341922057823,325.81090261459,307.4250702828056,0.5606217090190952,642.1442377425633,53371.98425522121
3908 Nyx (1980 PA),54128.0,0.1906279038352954,-1.678470562839963,-0.7089208448788915,0.01087611931373866,0.006361599271409307,0.003161720329532903,1.915034627552695,1.039161141473569,2.790908113631821,0.4573669183196138,23.21781212668283,354.523687900636,33.28291769038617,301.5280039753398,247.7292539753324,0.3721605273166823,967.3245107309982,54285.114985961
434 Hungaria (A898 RB),57011.0,1.10144574116731,-1.427610384199797,-0.05957387250519759,0.01059552451020369,0.008008559678713598,-0.0001888585301730651,1.948824277016045,1.802710323366139,2.094938230665951,0.07497543794642657,2.05268038912797,60.45777996018317,238.6610209957923,7.336680684326622,8.54563881677019,0.3625235579169674,993.0389133013379,56990.76219607191
1876 Napolitania (1970 BA),57572.0,0.4167158686257883,1.473153281094653,1.287104226874404,-0.01124793937369547,0.004003534887877167,-0.001798625869455872,1.968670428316993,1.873316001747989,2.064024854885998,0.04843595210119681,40.8852137280663,330.3868486274866,212.3903828378407,253.3638021155143,248.1436630899919,0.3570555011965359,1008.246613743793,57870.6544039431
2001 Einstein (1973 EB),57624.0,-1.10494355681163,-0.9189975622178933,-0.9881525851669051,0.01031215895797095,-0.006303140852440523,-0.006261164073715805,1.917718241613566,1.737835018710109,2.097601464517022,0.09380065277582335,46.14953221031368,358.4113960311201,215.1315518009745,13.76552022175276,16.64869434800989,0.3713796104030739,969.3585482769957,57586.93409805978
2 Pallas (A802 FA),49991.0,-2.064956902180406,0.7776885409322679,-0.0090292302215293,-0.005712318406192503,-0.01108467436490109,0.002579668902339385,2.784459110050525,2.130760455465392,3.438157764635659,0.2347668357655545,11.79265222778021,160.4860660182628,323.8688713091228,21.57937577135797,34.98385387543267,0.2122677362483995,1695.971353737534,49889.33888016688
6 Hebe (A847 NA),50775.0,-2.304926170397066,-1.73662990243702,0.02503112620565756,0.005812436684611694,-0.006606987244220048,-0.002442150436420614,2.429973858089795,1.939782910724751,2.920164805454839,0.2017268398724191,15.52524060821512,38.78512749245831,340.5452365733082,205.7442805703706,197.5978595082759,0.260371145127069,1382.641689517128,51367.44552369416
