targetname,mjd_tdb,x,y,z,vx,vy,vz,a,q,Q,e,incl,Omega,w,M,nu,n,P,tp_mjd
594913 'Aylo'chaxnim (2020 AV2),59038.0,-0.317736566970418,0.3682352083843547,0.1145084331109379,-0.01709566104856569,-0.01838644820454396,-0.0046228774828904,0.5554465579337585,0.457155005052558,0.6537381108149589,0.1769595138852631,15.86808195774043,6.70958639840681,187.3238776209493,312.9245016843301,295.7307591229238,2.380897254227945,151.2035008485645,59057.772167081945
163693 Atira (2003 CP20),57255.0,0.4355071778285782,0.1524965781093039,-0.2202984400191705,-0.006439849855063036,0.02676997429976691,-9.019530070336185e-05,0.7410366313421411,0.5023233079637339,0.9797499547205485,0.3221343092662743,25.61929298381334,103.917603901936,252.9404377897442,10.7638802464499,21.91378636380739,1.545057187541211,233.0010842983103,57248.033345086966
(2010 TK7),56757.0,-0.3965125476872755,-0.9026620320640499,0.1894055726688569,0.01296795225779864,-0.01026670588115361,-0.004472211963966921,0.9999463126125072,0.8093312204158842,1.19056140480913,0.1906253263723861,20.88682918608647,96.51335316631041,45.88501926997609,80.28087952740191,102.1654274639378,0.9856870459771354,365.2274841890849,56675.55337872682
3753 Cruithne (1986 TO),56900.0,1.21534796203377,0.3741075141059961,-0.4326897307582671,-0.00799065144293941,0.008943158373678338,0.00041657266410516,0.9976938317218094,0.4840191564531407,1.511368506990478,0.5148620337585673,19.80746632964751,126.2463509081129,43.80966687367717,249.5553339981719,208.109816668309,0.9890269893238114,363.9941112690248,57011.67002234887
54509 YORP (2000 PH5),52655.0,0.4595740489936325,1.013496077687753,0.02107483572000897,-0.0149692214405297,0.003398365045857048,-0.0004464174671134055,1.000041727521702,0.7701169616859214,1.229966493357483,0.2299151720454496,1.833143913787902,281.8868873799123,274.1048068048547,252.0405783765144,229.6021987208409,0.9855459813684824,365.279760463455,52764.54275463987
2063 Bacchus (1977 HB),57270.0,0.08451181441723982,-1.433874946991585,-0.2072147953809291,0.01143232063966546,0.001372021919802908,-0.0008464795203629276,1.077961084247007,0.7013766100306418,1.454545558463372,0.3493488584325122,9.432798561548925,33.10677761647652,55.31611067128036,190.2539959570709,185.2849520959793,0.8806421132797351,408.792623667824,57462.752539861016
1221 Amor (1932 EA1),57836.0,-0.7373261953529515,1.185298257989494,-0.2231580559115766,-0.009887560594586266,-0.01257478887418676,0.002928100545913456,1.919145576551173,1.083156183120067,2.755134969982279,0.4356049919534671,11.87948783526967,171.3449078755805,26.65800781071114,327.084234479091,283.2695128477033,0.3707167378770417,971.091842417441,57924.78953162301
433 Eros (A898 PA),53311.0,0.3739742611161106,1.144246711324373,0.1826889728202128,-0.01640089070798141,0.003004398326903981,-0.00226389512727029,1.458269315549998,1.133355399799006,1.78318323130099,0.2228078944584036,10.82918382607819,304.4010273379536,178.6653267763727,326.3704760365538,308.3386473947116,0.5596898969956455,643.2133256870292,53371.08599430509
3908 Nyx (1980 PA),54128.0,0.1884173986182558,-1.826171394479607,0.01733734978369143,0.01088156296622647,0.007090626849316441,0.0003702515947618604,1.927375551183402,1.043591824589494,2.81115927777731,0.4585425637734523,2.181544328999579,261.536966655401,126.2505988573253,302.0694954551927,248.1131307302025,0.3683448103652068,977.3451121601712,54285.272487394046
434 Hungaria (A898 RB),57011.0,1.098653704817318,-1.332586361471306,0.5133488377907552,0.01059147229278865,0.007267422297875438,-0.00335879782495016,1.944319345945524,1.800574517952402,2.088064173938647,0.07393066797019372,22.50923483106924,175.3326324435884,123.9659672439817,6.83209768503179,7.941190353315237,0.3635403975221816,990.2613367144,56992.206771704834
1876 Napolitania (1970 BA),57572.0,0.4129946000455895,1.860885943047368,0.5950708234066784,-0.01124697064854899,0.002950707210204941,-0.003242732642496381,1.964148911538272,1.869985664260958,2.058312158815585,0.04794099201142914,23.11202931552994,304.497165521584,243.5108763811839,252.2282753969681,247.0976823664227,0.3580489940745876,1005.448991500325,57872.99714392889
2001 Einstein (1973 EB),57624.0,-1.108599981209795,-1.239278801708896,-0.5408945791549249,0.01031367780911441,-0.008280529902052518,-0.003237288043381499,1.933439050763117,1.742699901859607,2.124178199666627,0.09865278599200049,22.68387419243041,357.0838712560975,217.6660017022744,12.82074082383882,15.66876641549896,0.3666134085506979,981.9608110438674,57589.02926372923
2 Pallas (A802 FA),49991.0,-2.062030933622712,0.7023970662081231,-0.3176862273812521,-0.005704858371965518,-0.009143013549145804,0.006775836132688664,2.771094964310573,2.123204921353897,3.418985007267249,0.2338029014887499,34.80784718809399,173.2982659536506,309.6975119439291,22.06434494324131,35.65873136705846,0.2136618380762323,1684.905471381164,49887.7324013412
6 Hebe (A847 NA),50775.0,-2.297099932815033,-1.587213559458018,0.71356374474222,0.00581595503421403,-0.007025127767764432,0.0003873590309391265,2.424823874916687,1.935439350172411,2.914208399660962,0.2018227096023997,14.77119056527861,138.8902698468709,239.0679260749693,205.0852078215354,197.1374559664909,0.2610260038873091,1379.172935411524,51368.48413518723
6522 Aci (1991 NQ),57745.0,-0.5814089031017102,-1.747423619344127,-0.5088292673405052,0.01210160025103937,-0.005114376260870739,0.003615592621541372,2.384876909479488,1.910578683169166,2.859175135789811,0.198877444963749,22.10969655914107,294.4483273146525,314.149042073304,0.5324560417233906,0.8130511710003377,0.267611714725822,1345.232589570428,57743.01034105616
10297 Lynnejones (1988 RJ13),57643.0,-0.9669798252373266,-2.209018910444116,-0.3018640998352243,0.01042533216090621,-0.003801732495397432,-0.002404173063621372,2.581973203536369,2.405829719044357,2.758116688028381,0.0682204928582368,14.43753355307215,37.26584235977536,242.4341067958169,331.4775573852821,327.4467777334083,0.2375617291953877,1515.395603573462,57763.06328928191
17032 Edlu (1999 FM9),57496.0,2.188140702273619,2.320226524793177,-0.08943771387005522,-0.007474904552534333,0.004808021834011348,0.0003032579930702405,2.780829408231046,2.129174201106317,3.432484615355775,0.2343384334169792,2.329805559864275,90.2510473276335,95.1855222103195,241.4877084926012,221.2179363686123,0.2125409182193079,1693.791496790929,58053.59753227886
202930 Ivezic (1998 SG172),57958.0,0.3525146725964643,2.627998385285379,0.2103123704870694,-0.01029262378730343,0.00277898302643401,2.013222262564188e-05,2.718768022386389,2.361230824132465,3.076305220640312,0.1315070632396569,4.560871735768094,346.2470122522523,8.041126949614425,73.08539303057145,88.05270709840026,0.219859807865208,1637.407052682904,57625.58183889883
911 Agamemnon (A919 FB),57476.0,-2.964408914427938,-4.317466706647851,-2.04123092723295,0.005864037298658621,-0.003809038568288123,-0.00053390900477298,5.27391603380447,4.9263098692838,5.621522198325141,0.06591044724500794,21.76240087369848,338.0203712853526,81.50050977618906,176.4370182125251,176.8706276068932,0.08137748379205534,4423.828106063238,55307.86933300411
1143 Odysseus (1930 BH),57755.0,-1.911197333460486,-5.319465567330561,0.1499682810094048,0.006422562625498248,-0.002632703183645786,0.0003407842396183494,5.249444695025159,4.780161559020787,5.718727831029532,0.08939671970429691,3.137858488771613,221.292125733347,236.8458210834867,147.0497703511545,152.1359398450201,0.08194718262789517,4393.073543903076,55960.554289537016
1172 Aneas (1930 UA),57042.0,0.3421607248235596,5.624044331030762,-0.5543122430834019,-0.006618256191240855,0.0006302416447358753,-0.001901091917397678,5.217107781944193,4.675222817858281,5.758992746030104,0.1038669290984007,16.66691215039154,247.3343864124584,51.56846133139171,141.7167584880066,148.3917261128224,0.08271025510383209,4352.54370268918,55328.58782021515
3317 Paris (1984 KF),57594.0,-2.896316993939991,5.028690840017951,-0.8432599331108283,-0.005264819489132563,-0.002763565651282051,0.002985888640788539,5.223290043766157,4.564024615666158,5.882555471866157,0.1262165077137185,27.86132104193,135.8958203820848,150.0913424646916,195.2951564199155,191.9876693419741,0.08256345535279179,4360.282627001597,59588.88796679303
5145 Pholus (1992 AD),55372.0,-6.295959000766768,-21.31912831443018,7.326662702112411,0.001932170207064977,-0.002635662166009075,-0.000178620854820554,20.30462269471633,8.69335187708451,31.91589351234814,0.5718535622261672,24.6672120012113,119.409556543323,354.7054649974555,73.91531849687775,136.7001361570537,0.01077238057961863,33418.79701884287,48510.441596027
5335 Damocles (1991 DA),48587.0,0.2943355124060589,-2.726454716300823,-3.156523424274803,0.00601788538690325,-0.008469059366359156,-0.002944431559004341,11.87023913529164,1.578641615831195,22.16183665475208,0.8670084403659819,61.88963566871038,314.1041259807831,191.2443807339965,8.639984010464087,109.9009806355606,0.02409987952385981,14937.83401048068,48228.49264721805
15760 Albion (1992 QB1),56220.0,36.21514503006384,19.54587838681091,0.7599844951645718,-0.001250159457696254,0.002471400422042855,9.387352884964051e-05,44.17222186652304,40.93039676880561,47.41404696424046,0.07339058260445618,2.186402706500577,359.4285368278593,5.634491467132875,20.14458990223006,23.31106863010699,0.00335722313026299,107231.4785260637,50219.62733467389
15788 (1993 SB),57437.0,15.98934174378975,21.91765888592799,0.7873380588102744,-0.00323191826628724,0.001954798610454416,5.627064910782254e-05,39.26948928885221,26.72618051753013,51.8127980601743,0.3194161421111951,1.939884062623346,354.9269504026954,79.45729840209238,349.8847772554819,339.5188103763437,0.004005172209867633,89883.77556227417,59962.540030363016
15789 (1993 SC),56742.0,30.58451234069705,21.35556077800098,2.176096307076572,-0.001219507139022907,0.002612056313653605,0.0002249129399354677,39.57094571972469,32.29071369101062,46.85117774843877,0.183979227594885,5.163893001350136,354.7200835350276,317.5535370977228,62.32288320428964,82.76587551771262,0.003959491630328286,90920.76296929865,41001.87752394285
1I/'Oumuamua (A/2017 U1),58080.0,1.889136186533479,0.6815829716216527,0.259065170725899,0.0210650228586455,0.003903782164346327,0.008115468208135282,-1.272345007428081,0.2559115812959117,9.999999999999998e+99,1.201133796102373,122.7417062847286,24.5969095552324,241.8105360304898,51.15761979385627,126.9382003754125,0.6867469493396313,9.999999999999998e+99,58005.50732137496
