targetname,mjd_tdb,x,y,z,vx,vy,vz,a,q,Q,e,incl,Omega,w,M,nu,n,P,tp_mjd
594913 'Aylo'chaxnim (2020 AV2),59067.0,-0.3290888456880441,-0.3222252917374724,-0.08003750922292563,0.01762707752320063,-0.01962193824247083,-0.00612487133649561,0.5554440667526338,0.4571551074226906,0.6537330260825771,0.1769556382239945,15.86810539792722,6.709591539982261,187.3240298152103,21.97053700969231,31.44459988945033,2.380913271825318,151.2024836268006,59057.77222288214
163693 Atira (2003 CP20),57349.0,-0.8492810152881867,0.2905407327682534,0.3617879858467837,-0.00471131381077333,-0.01327227480204085,0.003723615109784675,0.7410443486540733,0.5023353324478986,0.9797533648602479,0.3221251422262804,25.61890457457085,103.9169954995755,252.9436777691511,155.9960977440278,166.8926912820257,1.545033052027769,233.0047240915139,57248.033811904956
(2010 TK7),56757.0,-0.3965125476872755,-0.9026620320640499,0.1894055726688569,0.01296795225779864,-0.01026670588115361,-0.004472211963966921,0.9999463126125072,0.8093312204158842,1.19056140480913,0.1906253263723861,20.88682918608647,96.51335316631041,45.88501926997609,80.28087952740191,102.1654274639378,0.9856870459771354,365.2274841890849,56675.55337872682
3753 Cruithne (1986 TO),57010.0,-0.452059125884152,0.1436283911344212,0.1007278852382403,-0.006192208105627114,-0.02868829016791405,0.007907817286315079,0.9976774981512406,0.4840006113891007,1.511354384913381,0.5148726795121832,19.80763837643171,126.2449620684891,43.81209332517585,358.349504202347,353.9954808163005,0.9890512773451495,363.9851727064407,57011.66876666108
54509 YORP (2000 PH5),52655.0,0.4595740489936325,1.013496077687753,0.02107483572000897,-0.0149692214405297,0.003398365045857048,-0.0004464174671134055,1.000041727521702,0.7701169616859214,1.229966493357483,0.2299151720454496,1.833143913787902,281.8868873799123,274.1048068048547,252.0405783765144,229.6021987208409,0.9855459813684824,365.279760463455,52764.54275463987
2063 Bacchus (1977 HB),57314.0,0.5630072644695869,-1.238673594279411,-0.2234698009768839,0.009914485301994895,0.007509142930982884,0.0001453516559533947,1.077963247678749,0.7013820902586183,1.454544405098879,0.3493450803921641,9.432765804925815,33.10617406689604,55.31673301271916,229.001937593872,206.1354407447846,0.880639462157608,408.7938543180692,57462.75334121985
1221 Amor (1932 EA1),58276.0,2.591874565956826,-0.2125099357647883,-0.03785855466681714,0.002936314393207596,0.00785866687096337,-0.001727170920089381,1.919178663566487,1.0833468726841,2.755010454448874,0.4355153622483105,11.8788021801806,171.3442283640017,26.66063523497916,130.2026946444446,157.3944510288063,0.3707071510748208,971.1169556784198,57924.772098766174
433 Eros (A898 PA),53311.0,0.3739742611161106,1.144246711324373,0.1826889728202128,-0.01640089070798141,0.003004398326903981,-0.00226389512727029,1.458269315549998,1.133355399799006,1.78318323130099,0.2228078944584036,10.82918382607819,304.4010273379536,178.6653267763727,326.3704760365538,308.3386473947116,0.5596898969956455,643.2133256870292,53371.08599430509
3908 Nyx (1980 PA),54297.0,0.7957205848462305,0.6876655033916736,0.02612501170778239,-0.01208477652748681,0.01620744357338397,-0.0005462211647141,1.927254726317374,1.043518332131627,2.810991120503122,0.4585467515622101,2.181526800760576,261.5345396989454,126.2626307690044,4.317308381216733,13.01602319872923,0.3683794497223875,977.253210707866,54285.28026811918
434 Hungaria (A898 RB),57115.0,1.822300225161771,-0.2991432059261308,0.06209674888903188,0.002803406200495842,0.0116662516412047,-0.004913196007711728,1.944265730031342,1.800539562256124,2.087991897806561,0.0739231091487181,22.50990285502302,175.3317761208536,123.9359172577121,44.66849886016431,51.02802653195933,0.3635554353471279,990.2203763128089,56992.13428402599
1876 Napolitania (1970 BA),57580.0,0.3225625902883061,1.882264758513593,0.5684301836384673,-0.01135665539385087,0.002392320297362633,-0.003416293429581537,1.964141395240021,1.869972212341598,2.058310578138444,0.04794419746288962,23.11205769989892,304.4970853022875,243.5146572728771,255.0891984611654,249.8680893816153,0.3580510493280502,1005.443220109555,57873.005150342826
2001 Einstein (1973 EB),57623.0,-1.118883000855351,-1.230963975808704,-0.5376423230224658,0.01025201353380687,-0.008348922359408538,-0.003267148853418947,1.933440996969532,1.742699910690584,2.12418208324848,0.09865368872280841,22.68387422624804,357.0838713384591,217.6660387686205,12.4540694741048,15.22257685661638,0.3666128549999128,981.9622937119476,57589.02937048115
2 Pallas (A802 FA),49991.0,-2.062030956049491,0.702397184814109,-0.3176864439814983,-0.005704859006683508,-0.009143012754633306,0.006775835866211377,2.771094967065309,2.123205022625946,3.418984911504673,0.233802865704564,34.80784907893018,173.2982703707796,309.6975041586921,22.06434602731617,35.6587302683246,0.2136618377576316,1684.905473893601,49887.73239611322
6 Hebe (A847 NA),57520.0,-2.829620545397443,-0.3411411415508757,0.5588814269659731,0.0009520501824000666,-0.008854998942248024,0.00158447877392539,2.426683865260888,1.936523755574582,2.916843974947195,0.2019876246358979,14.73998721451788,138.6865328481434,239.7003225889478,164.4641055782222,169.438368070809,0.2607259568911003,1380.760106483622,56889.20701130293
6522 Aci (1991 NQ),57757.0,-0.4345634402191264,-1.803401050306531,-0.4639334301853674,0.01236010879523323,-0.004210818182342328,0.003863145057017694,2.384861417359239,1.910578742549923,2.859144092168553,0.198872215952275,22.10977232270741,294.4481410235737,314.1493063519684,3.743775532475195,5.713533379515185,0.2676143223487854,1345.219481679336,57743.0105561628
10297 Lynnejones (1988 RJ13),57592.0,-1.468415715535112,-1.958384454326749,-0.1723420264032713,0.009158213407406064,-0.005973223127763331,-0.002651523757114044,2.582076475310425,2.405883443112866,2.758269507507983,0.06823695342965252,14.43737504285102,37.26557536290478,242.3985502822001,319.3954585695573,313.9632284445152,0.237547477191537,1515.486521920535,57762.932320185006
17032 Edlu (1999 FM9),57662.0,0.710432686192845,2.765420319593611,-0.02939581131613225,-0.01003225347895039,0.0001664557529342241,0.0004081447647480676,2.780427424540843,2.128692875946515,3.43216197313517,0.2344008488917689,2.329884950051613,90.25003133877217,95.22086143244837,276.7382309879603,250.1098559989764,0.2125870124294309,1693.424240201426,58053.65971646411
202930 Ivezic (1998 SG172),57958.0,0.3525146725964643,2.627998385285379,0.2103123704870694,-0.01029262378730343,0.00277898302643401,2.013222262564188e-05,2.718768022386389,2.361230824132465,3.076305220640312,0.1315070632396569,4.560871735768094,346.2470122522523,8.041126949614425,73.08539303057145,88.05270709840026,0.219859807865208,1637.407052682904,57625.58183889883
911 Agamemnon (A919 FB),57514.0,-2.738095293114539,-4.456957256342521,-2.059054134732412,0.006044809189625542,-0.003531117692158183,-0.0004039653433761221,5.274077578162197,4.926639602137237,5.621515554187158,0.06587653876453373,21.7623366437689,338.0193881512616,81.47071926588421,179.5643794504768,179.6173950369677,0.08137374494697061,4424.03136582449,55307.33764757309
