targetname,mjd_tdb,x,y,z,vx,vy,vz,a,q,Q,e,incl,Omega,w,M,nu,n,P,tp_mjd
594913 'Aylo'chaxnim (2020 AV2),59038.0,-0.317736566970418,0.292300359461864,0.2515349872400585,-0.01709566104856569,-0.01503036135546737,-0.01155511624018841,0.5554465579337585,0.4571550050525581,0.653738110814959,0.1769595138852631,39.2399517643447,2.894775651016537,191.5372103273081,312.9245016843302,295.7307591229239,2.380897254227944,151.2035008485646,59057.772167081945
163693 Atira (2003 CP20),57255.0,0.4355072603792843,0.2275426500333844,-0.1414601322605391,-0.006439852541871425,0.02459684363617412,0.01056573283552891,0.7410366326665756,0.5023233928038752,0.9797498725292761,0.3221341959893469,29.69775950387621,57.90224796194812,304.1397457112276,10.76388555736011,21.91379071066292,1.545057183399054,233.001084922965,57248.03334163083
(2010 TK7),56757.0,-0.3965125476872755,-0.9035174325435558,-0.1852821205025426,0.01296795225779864,-0.007640574726747167,-0.00818703532090557,0.999946312612507,0.809331220415884,1.19056140480913,0.1906253263723861,29.1581697702819,46.63744576771693,100.0933346808848,80.28087952740195,102.1654274639378,0.9856870459771357,365.2274841890847,56675.55337872682
3753 Cruithne (1986 TO),56900.0,1.21534805161331,0.5153520752733295,-0.2481738503852314,-0.007990656880839936,0.008039466740623289,0.003939585083426253,0.9976938315869092,0.4840183970120603,1.511369266161758,0.5148627948894985,19.45611896116753,55.13164447767009,118.2006171614506,249.5553638289446,208.1097875566043,0.989026989524404,363.9941111952002,57011.669992165174
54509 YORP (2000 PH5),52655.0,0.4595740489936325,0.9214813830415495,0.4224813710649472,-0.0149692214405297,0.003295513640363453,0.0009422119644885355,1.000041727521702,0.7701169616859214,1.229966493357483,0.2299151720454496,23.88053697430443,355.5652598299656,200.0540226219078,252.0405783765144,229.6021987208409,0.9855459813684824,365.279760463455,52764.54275463987
2063 Bacchus (1977 HB),57270.0,0.08451179665608492,-1.233129236906633,-0.7604785440106588,0.01143232066276651,0.001595515702130104,-0.0002308707748020902,1.077961083353776,0.7013766090139688,1.454545557693583,0.3493488588365077,31.737390396263,9.798067020477427,79.71160107319545,190.2539986183567,185.2849534677806,0.8806421143743247,408.7926231597173,57462.75253659906
1221 Amor (1932 EA1),57836.0,-0.7373262001269912,1.176257063595396,0.2667410430844503,-0.009887560571114137,-0.01270187475103454,-0.002315484203215885,1.919145576479433,1.08315618366676,2.755134969292106,0.4356049916475069,11.82345432674856,8.695829871945579,189.6714965961649,327.0842346534859,283.2695131812459,0.3707167378978286,971.0918423629898,57924.78953114804
433 Eros (A898 PA),53311.0,0.3739742611161106,0.9771563321932184,0.622769058015444,-0.01640089070798141,0.003657007337298758,-0.0008820021479138534,1.458269315549998,1.133355399799006,1.78318323130099,0.2228078944584036,30.80453973175977,342.37947733294,138.8070369030884,326.3704760365538,308.3386473947116,0.5596898969956455,643.2133256870292,53371.08599430509
3908 Nyx (1980 PA),54128.0,0.1884174232650581,-1.682375892307902,-0.7105025705962589,0.01088156286515375,0.006358245435951304,0.003160188611603623,1.927375550878165,1.043591826092209,2.81115927566412,0.458542562908033,23.2130589907506,354.518445687567,32.82170065514585,302.0694952392972,248.1131306253205,0.3683448104527085,977.3451119279989,54285.27248794306
434 Hungaria (A898 RB),57011.0,1.098653578345657,-1.426822352537378,-0.05908405568096944,0.01059147363015832,0.008003783270971749,-0.0001908224067769851,1.944319342134843,1.800574300572057,2.088064383697629,0.07393077795798483,2.044738511548251,60.8187233112038,238.8495769676226,6.832105152809709,7.941200840695029,0.3635403985909385,990.2613338031731,56992.206751219
