orbit_id,targetname,mjd_utc,observatory_code,datetime_str,datetime_jd,H,G,solar_presence,flags,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,V,surfbright,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat
00000,594913 'Aylo'chaxnim (2020 AV2),59007.99919925076,X05,2020-Jun-07 23:58:50.815,2459008.499199248,16.21,0.15,,m,68.026349327,26.758477551,68.329889519,26.799066287,197.0481,44.23213,282.951050703,-35.643568844,-265.8,-756.94,-27426.9,14160.044,299.357,12.3863820272,999.0,,16.973,,98.49503,,30488.65,*,,,,,,115.87,0.0,,,58.527112,12.595114,0.614131608136,-5.1312824,1.59962184096215,-1.5882482,13.30364918,35.943052,65.1017596,8.4691,/L,14.0887,143.5,93.5958,157.2159,295.764,253.977,9.23749,Tau,69.184733,70.6849293,4.8038448,,,172.100972,-14.400296,19.2798344784,0.000354,0.47,0.105,0.471,0.104,-1.857,0.1538609,0.482,208.0296,0.0002384,2.2,7.98,0.001388,225.5696,7.831056059,14.0933,64.5273,8.7439
00000,594913 'Aylo'chaxnim (2020 AV2),59008.0200325841,X05,2020-Jun-08 00:28:50.815,2459008.520032584,16.21,0.15,,m,68.057000083,26.764674013,68.360557032,26.805206303,197.2187,44.21662,280.228527593,-41.983361454,-243.59,-764.33,-27396.58,14175.902,299.408,12.8877511113,999.0,,16.972,,98.49664,,30469.13,*,,,,,,115.93,0.0,,,58.567448,12.601862,0.614069845803,-5.1347875,1.59960255458934,-1.6184149,13.30348878,35.947094,65.1542385,8.4636,/L,14.0811,143.3,93.4776,157.229,295.818,253.998,9.23888,Tau,69.184732,70.7130067,4.8058861,,,172.114692,-14.375592,19.779761326,0.000354,0.47,0.105,0.471,0.104,-1.874,0.153896,0.482,207.9342,0.0002384,2.2,7.98,0.001387,225.6095,8.330380642,14.0857,64.5615,8.7482
00000,594913 'Aylo'chaxnim (2020 AV2),59008.040865917435,X05,2020-Jun-08 00:58:50.815,2459008.540865917,16.21,0.15,,m,68.087678125,26.770868932,68.391252665,26.811344229,197.3771,44.20894,277.462407738,-48.377799911,-224.61,-770.07,-27366.29,14191.742,299.459,13.3891201208,999.0,,16.972,,98.49825,,30449.66,*,,,,,,115.98,0.0,,,58.607794,12.608605,0.614008041308,-5.1382908,1.59958287471502,-1.6535802,13.30332511,35.9511392,65.2035752,8.4582,/L,14.0735,143.0,93.3643,157.2422,295.873,254.019,9.24026,Tau,69.184732,70.7411068,4.8079275,,,172.128422,-14.350869,20.2796857222,0.000354,0.47,0.105,0.47,0.104,-1.891,0.1539317,0.482,207.8391,0.0002384,2.2,7.98,0.001387,225.6495,8.829703276,14.0781,64.5957,8.7526
00000,594913 'Aylo'chaxnim (2020 AV2),59009.99919925136,X05,2020-Jun-09 23:58:50.815,2459010.499199251,16.21,0.15,,,70.98910684,27.325329463,71.29506338,27.360640554,200.0493,38.93101,283.959536283,-34.994528536,-262.81,-753.66,-24424.28,15595.643,304.53,12.5178057458,999.0,,16.921,,98.64693,,28623.69,*,,,,,,121.38,0.0,,,62.447324,13.220618,0.608013328112,-5.4592405,1.5970891035166,-2.1625219,13.28258505,36.3452222,65.6104751,7.951,/L,13.3553,120.3,79.6713,158.4796,301.27,256.031,9.35916,Tau,69.184681,73.3870301,4.9963662,,,173.40676,-12.019408,19.2733352568,0.000354,0.462,0.113,0.463,0.11,-3.464,0.1594454,0.476,199.8258,0.0002398,2.22,8.06,0.001333,229.4416,7.76480152,13.3597,67.8379,9.1456
00000,594913 'Aylo'chaxnim (2020 AV2),59010.0200325847,X05,2020-Jun-10 00:28:50.815,2459010.520032585,16.21,0.15,,,71.020383399,27.330791577,71.326353717,27.366044099,200.2213,38.91153,281.302143524,-41.308964951,-238.97,-761.52,-24392.16,15609.859,304.587,13.0191747258,999.0,,16.921,,98.64844,,28604.62,*,,,,,,121.44,0.0,,,62.488683,13.226887,0.60794762067,-5.4625618,1.59706291143599,-2.1920034,13.28236721,36.3495609,65.6635077,7.9457,/L,13.3479,120.0,79.4629,158.4925,301.331,256.053,9.36048,Tau,69.18468,73.4153901,4.9981699,,,173.420468,-11.994476,19.773259127,0.000354,0.462,0.113,0.463,0.11,-3.481,0.1595238,0.476,199.7526,0.0002398,2.22,8.05,0.001333,229.4823,8.264084478,13.3522,67.8727,9.1496
00000,594913 'Aylo'chaxnim (2020 AV2),59010.04086591804,X05,2020-Jun-10 00:58:50.815,2459010.540865918,16.21,0.15,,,71.051687512,27.336251614,71.357672421,27.371445004,200.3816,38.90013,278.63451494,-47.681997284,-217.95,-767.75,-24360.07,15624.056,304.644,13.5205437055,999.0,,16.92,,98.64993,,28585.6,*,,,,,,121.5,0.0,,,62.530053,13.233151,0.60788187327,-5.4658811,1.59703633390231,-2.2265177,13.28214618,36.3539026,65.7134587,7.9404,/L,13.3404,119.7,79.2616,158.5054,301.391,256.074,9.3618,Tau,69.18468,73.4437732,4.9999738,,,173.434185,-11.969523,20.2731806202,0.000354,0.462,0.113,0.463,0.11,-3.498,0.1596027,0.476,199.6798,0.0002399,2.22,8.05,0.001332,229.5231,8.763365544,13.3448,67.9076,9.1535
00000,594913 'Aylo'chaxnim (2020 AV2),59011.99919925197,X05,2020-Jun-11 23:58:50.815,2459012.499199252,16.21,0.15,,,74.011487305,27.819546248,74.319565779,27.849371387,203.0242,33.27614,284.894251714,-34.274502414,-261.14,-750.42,-21249.36,16866.088,310.304,12.6492262622,999.0,,16.868,,98.78689,,26816.25,*,,,,,,127.53,0.0,,,66.469488,13.797319,0.601526856601,-5.7683504,1.59388345028172,-2.7512495,13.25592444,36.775572,66.1205974,7.449,/L,12.6429,98.5,61.7801,159.7097,307.416,258.154,9.4745,Tau,69.184628,76.116831,5.1653329,,,174.714229,-9.616813,19.266575687,0.000354,0.453,0.124,0.455,0.118,-5.096,0.1686889,0.47,193.9355,0.0002416,2.24,8.15,0.001294,233.3948,7.694588544,12.6469,71.2113,9.5108
00000,594913 'Aylo'chaxnim (2020 AV2),59012.02003258531,X05,2020-Jun-12 00:28:50.815,2459012.520032585,16.21,0.15,,,74.043373901,27.82422473,74.351462743,27.853989163,203.1977,33.25244,282.287948669,-40.563656857,-235.89,-758.69,-21215.46,16878.493,310.368,13.1505952111,999.0,,16.867,,98.78826,,26797.96,*,,,,,,127.6,0.0,,,66.511949,13.803048,0.601457430966,-5.7714621,1.59385017850515,-2.7800504,13.25564773,36.7802008,66.1741034,7.4439,/L,12.6357,98.2,61.5187,159.7221,307.484,258.177,9.47575,Tau,69.184628,76.1454829,5.1668826,,,174.727983,-9.591658,19.7664971043,0.000354,0.453,0.124,0.455,0.118,-5.113,0.1687998,0.47,193.8882,0.0002416,2.24,8.15,0.001293,233.4364,8.193831028,12.6398,71.2468,9.5143
00000,594913 'Aylo'chaxnim (2020 AV2),59012.04086591865,X05,2020-Jun-12 00:58:50.815,2459012.540865919,16.21,0.15,,,74.075288237,27.828900565,74.383388236,27.858603713,203.3595,33.23706,279.699760788,-46.914955107,-213.13,-765.36,-21181.59,16890.876,310.432,13.6519641601,999.0,,16.866,,98.78962,,26779.71,*,,,,,,127.66,0.0,,,66.554422,13.808771,0.601387967897,-5.7745715,1.59381652924569,-2.8139227,13.25536788,36.7848326,66.2245916,7.4388,/L,12.6286,97.9,61.2635,159.7345,307.552,258.199,9.47701,Tau,69.184627,76.1741582,5.1684327,,,174.741745,-9.566483,20.2664161461,0.000354,0.453,0.125,0.455,0.118,-5.13,0.168911,0.47,193.8413,0.0002416,2.24,8.15,0.001293,233.478,8.693071611,12.6326,71.2824,9.5179
00000,594913 'Aylo'chaxnim (2020 AV2),59013.99919925258,X05,2020-Jun-13 23:58:50.815,2459014.499199253,16.21,0.15,,,77.091587509,28.236361663,77.40146818,28.260495396,205.9415,27.26467,285.750970116,-33.484697608,-260.8,-747.26,-17905.11,17954.974,316.797,12.7806445304,999.0,,16.812,,98.91265,,25102.14,*,,,,,,134.43,0.0,,,70.601164,14.31901,0.59469544785,-6.0559957,1.58998606000927,-3.3576698,13.22351084,37.2333951,66.6288289,6.9728,/L,11.9672,77.7,42.8918,160.881,314.318,260.345,9.58361,Tau,69.184575,78.8751722,5.3091342,,,176.028931,-7.193136,19.2596013326,0.000354,0.444,0.138,0.447,0.129,-6.734,0.1805343,0.465,190.7073,0.0002438,2.27,8.26,0.001272,237.4365,7.620546652,11.9709,74.6516,9.8358
