object_id,dynamical_class
2020 AV2,Atira
163693,Atira
2010 TK7,Aten
3753,Aten
54509,Apollo
2063,Apollo
1221,Amor
433,Amor
3908,Amor
434,Inner Main Belt
1876,Inner Main Belt
2001,Inner Main Belt
2,Main Belt
6,Main Belt
6522,Main Belt
10297,Main Belt
17032,Main Belt
202930,Main Belt
911,Jupiter Trojan
1143,Jupiter Trojan
1172,Jupiter Trojan
3317,Jupiter Trojan
5145,Centaur
5335,Centaur
15760,Trans-Neptunian Object
15788,Trans-Neptunian Object
15789,Trans-Neptunian Object
A/2017 U1,Interstellar Object
