orbit_id,object_id,time.jd1_tdb,time.jd2_tdb,x,y,z,vx,vy,vz,origin.code,cov_x_x,cov_y_x,cov_y_y,cov_z_x,cov_z_y,cov_z_z,cov_vx_x,cov_vx_y,cov_vx_z,cov_vx_vx,cov_vy_x,cov_vy_y,cov_vy_z,cov_vy_vx,cov_vy_vy,cov_vz_x,cov_vz_y,cov_vz_z,cov_vz_vx,cov_vz_vy,cov_vz_vz
,594913 'Aylo'chaxnim (2020 AV2),2459038.0,0.5,-0.31773656696340374,0.3682352083918984,0.11450843311283455,-0.01709566104887492,-0.018386448204185585,-0.004622877482778955,SUN,4.869530385232063e-13,4.640903301098472e-13,1.2471384045713769e-12,9.543033327268448e-14,-1.4191396478637558e-14,3.8761618305249535e-13,-2.4292973293765248e-14,-2.7157854012922844e-14,-3.0389473534277287e-15,1.3490068059358539e-15,2.681313191738109e-14,6.208754890245881e-14,3.965284424179218e-15,-1.6268949821043397e-15,3.305546943695162e-15,-2.738074993392154e-15,1.063115849467429e-14,1.6518612608504957e-15,1.3502986395998136e-16,4.0029448183087257e-16,4.237333352367026e-16
,163693 Atira (2003 CP20),2457256.0,-0.5,0.4355071778313562,0.15249657809775613,-0.22029844001913157,-0.006439849854647203,0.026769974299912493,-9.019530091370332e-05,SUN,9.632409606450106e-16,2.8830312417328225e-15,1.8671527494729595e-14,6.33562751784606e-16,9.62865193396584e-16,1.6758080042401377e-15,-9.831382774736642e-17,-6.242047000033974e-16,-6.238917770283294e-17,2.1676494250748246e-17,-8.320983068123258e-17,-4.720761688711946e-16,-2.004707964938883e-17,1.5508217786666068e-17,1.2313012346962032e-17,4.904662701599506e-17,3.028632401068402e-16,1.4052022900097974e-18,-9.672046482013345e-18,-7.882531677368147e-18,5.1903362454451985e-18
,(2010 TK7),2456758.0,-0.5,-0.3965125476909978,-0.902662032061103,0.18940557267014038,0.01296795225776535,-0.010266705881229375,-0.004472211963951022,SUN,1.197343462523061e-12,-6.198880452017768e-13,3.787041918570779e-13,4.28780940837666e-14,3.7257494200580047e-14,1.6197590667594596e-13,7.145921434012163e-15,-3.4651663887913023e-15,3.346055482896897e-16,4.792774265996632e-17,1.4151258890651688e-14,-8.174699099677494e-15,-3.767466749472695e-16,8.144434923064463e-17,1.8011622374695987e-16,-5.63607345421453e-15,2.8854419465332323e-15,5.44175221626996e-16,-2.4201764960428115e-17,-6.598945649322952e-17,6.370857017618151e-17
,3753 Cruithne (1986 TO),2456900.0,0.5,1.2153479909055374,0.37410840055740174,-0.4326903730445116,-0.007990656955370296,0.008943144210433643,0.00041658184335045676,SUN,1.4477875464309904e-15,3.846604001517015e-17,1.4011105156396797e-15,9.238628626340123e-16,-5.282074328786467e-16,1.8705846892057717e-15,2.4692207179354183e-17,1.940199945421315e-17,8.654985947145264e-18,1.2363315002655843e-18,3.1422299998150827e-18,6.7344424763667544e-18,5.586257498496914e-18,6.460934398692661e-19,5.212740832806572e-19,3.950672139207102e-18,-5.425843371347785e-18,1.3523213728652145e-17,-8.780751887672787e-21,2.746615837651932e-20,1.6365449365111494e-19
,54509 YORP (2000 PH5),2452656.0,-0.5,0.4595740489986786,1.0134960776866067,0.021074835720159543,-0.014969221440496455,0.0033983650459303676,-0.0004464174671118808,SUN,2.676836895253084e-13,-4.6681212893710824e-14,8.152777778058817e-15,-1.5097088139511317e-14,2.7888066502299844e-15,7.535751956186605e-15,1.6527960843713229e-15,-2.879518401958314e-16,-8.625813362231804e-17,1.0213926405475393e-17,2.5600448709277876e-15,-4.464544237182307e-16,-1.4195229844381636e-16,1.5808461188232143e-17,2.4484972923016255e-17,3.1445951322255116e-16,-5.668936828446715e-17,-9.174352010862741e-17,1.8628760837493738e-18,2.9815247447558578e-18,1.1911603347924287e-18
,2063 Bacchus (1977 HB),2457270.0,0.5,0.08451180879394979,-1.4338749514221256,-0.20721474134951956,0.011432320662639887,0.001372021976154804,-0.0008464795572873398,SUN,1.6557722547947525e-15,4.485162690955818e-16,1.6970186772286534e-16,4.690664709573979e-17,-4.4232476822881395e-18,4.813902741803215e-16,2.9636672623531982e-18,1.2093563053066793e-18,5.66150180453729e-19,9.643176671199578e-21,9.31326403117735e-18,3.1674005351777182e-18,8.962118979641089e-19,2.3008049169849316e-20,6.360164470366692e-20,5.77402032685445e-19,3.6092856496768827e-19,4.284736430043534e-19,3.759997054510588e-21,6.6229779306195026e-21,5.325256955559631e-21
,1221 Amor (1932 EA1),2457836.0,0.5,-0.737326195352819,1.1852982579896623,-0.2231580559116157,-0.009887560594587301,-0.01257478887418509,0.002928100545913143,SUN,3.17105446498265e-14,2.799435491702244e-14,4.247876601296282e-14,-5.611337283427377e-15,-5.2185876116454525e-15,9.536316342981306e-15,-2.096089543455225e-16,-1.382622805370818e-16,3.166277675492227e-17,1.575950446376601e-18,2.50896138101818e-16,3.51618429047802e-16,-6.828027401205647e-17,-1.3391976121930285e-18,3.0956476954750256e-18,-2.6898733011536087e-17,-6.156771643595827e-17,-3.6856914810751335e-17,1.6633860348350021e-19,-6.541996779789801e-20,1.8960105362918125e-18
,433 Eros (A898 PA),2453312.0,-0.5,0.3739742611175722,1.1442467113241046,0.18268897282041496,-0.01640089070797594,0.0030043983269206903,-0.0022638951272676193,SUN,2.2107857891256852e-16,-9.129175820121825e-17,2.3743537840948066e-16,-9.027699111139134e-17,-8.37101169359451e-17,5.493729782142161e-16,-3.7551938241463005e-20,1.848153876470333e-18,1.3847776707268307e-19,2.1222131729267547e-20,2.486841867290902e-18,-1.7116772450776386e-18,-2.108344341395683e-19,-4.020617996593817e-21,3.9184826681383814e-20,8.262198897419675e-19,4.296618675032999e-19,-3.3841268370157598e-18,-4.995805874478262e-21,4.177565325190372e-21,5.496485788042766e-20
,3908 Nyx (1980 PA),2454128.0,0.5,0.18841739861775514,-1.826171394479933,0.01733734978367447,0.010881562966226888,0.007090626849312421,0.00037025159476189874,SUN,1.5122641771844013e-15,-1.1351142260526378e-16,6.586086311835237e-17,-3.7369556125948073e-16,-2.2333699533038163e-17,1.0892134907161149e-15,-6.7663660170505845e-18,9.240205440679327e-19,1.2353549897138233e-18,3.3427379435007677e-20,7.231567809121164e-18,-4.820682820167793e-19,-1.7165768548273971e-18,-3.2070181869907317e-20,3.4828206074874464e-20,-2.7442746229398042e-18,1.0329411715360679e-19,-1.9922560386569493e-18,1.1426247439817333e-20,-1.3251893132968417e-20,1.4462465786701076e-20
,434 Hungaria (A898 RB),2457012.0,-0.5,1.0986535681263838,-1.3325862878254835,0.5133487998286831,0.010591473363513276,0.007267422526217955,-0.0033587979925216796,SUN,3.403558191726457e-15,1.893648885960057e-15,2.3431480249295415e-15,-9.927194372156527e-16,-5.271469646658619e-16,7.412715701639703e-16,-1.5070130211557357e-17,-3.6740518362433544e-18,4.082931818939201e-18,8.456626675763088e-20,1.4875116401083216e-17,1.280594455278812e-17,-4.2373056262196825e-18,-4.9690673472930526e-20,8.452495906763964e-20,-4.54839591797839e-18,-3.582872726756102e-18,3.532563533852658e-18,1.4365621389720393e-20,-1.7115366793157703e-20,3.216363768012646e-20
,1876 Napolitania (1970 BA),2457572.0,0.5,0.4129947297777791,1.8608859045391821,0.595071157005342,-0.011246969975220122,0.002950707739691608,-0.0032427324076779998,SUN,3.074464979997935e-14,-4.736460654705757e-15,6.760374009968983e-15,5.429421709664804e-16,-7.025309846401255e-15,2.8104748777399436e-14,2.868549211485627e-17,1.3947192710534804e-17,1.667725771644847e-17,2.1435334698889327e-19,8.801946258884432e-17,-2.877445291617988e-17,2.6076027421007506e-17,1.0986347300182032e-19,4.41411713179502e-19,2.8484057485963945e-17,-1.640809302744713e-18,9.762332096282827e-18,-1.0250121629666264e-19,-1.6386678642379452e-21,5.178827018714371e-19
,2001 Einstein (1973 EB),2457624.0,0.5,-1.108599981212163,-1.239278801706996,-0.5408945791541818,0.01031367780910033,-0.008280529902068266,-0.0032372880433883715,SUN,4.231192202791666e-15,-2.0932062743291604e-15,1.2137139574602243e-15,-7.250937443526853e-16,3.9726172333701505e-16,3.8243032433745656e-16,2.0417819993664164e-17,-9.768654209994006e-18,-2.9784532070756955e-18,1.018087068477334e-19,1.0946302827306934e-17,-6.299489958643621e-18,-2.8633941774318058e-18,5.338849424115225e-20,4.376313452821497e-20,8.420400628166953e-18,-4.808396899329423e-18,-4.071602280117917e-19,3.894123440024715e-20,1.2754570898818247e-20,3.822804231690066e-20
