orbit_ids,object_ids,times.jd1,times.jd2,times.scale,x,y,z,vx,vy,vz,origin.code,frame.name,cov_x_x,cov_y_x,cov_y_y,cov_z_x,cov_z_y,cov_z_z,cov_vx_x,cov_vx_y,cov_vx_z,cov_vx_vx,cov_vy_x,cov_vy_y,cov_vy_z,cov_vy_vx,cov_vy_vy,cov_vz_x,cov_vz_y,cov_vz_z,cov_vz_vx,cov_vz_vy,cov_vz_vz
,594913 'Aylo'chaxnim (2020 AV2),2459038.0,0.5,tdb,-0.31773656696340374,0.3682352083918984,0.11450843311283455,-0.01709566104887492,-0.018386448204185585,-0.004622877482778955,SUN,ecliptic,4.869530385232057e-13,4.640903301098473e-13,1.2471384045713767e-12,9.543033327268431e-14,-1.419139647863767e-14,3.8761618305249525e-13,-2.4292973293765198e-14,-2.7157854012922806e-14,-3.0389473534277177e-15,1.3490068059358517e-15,2.681313191738105e-14,6.208754890245881e-14,3.9652844241792096e-15,-1.6268949821043391e-15,3.305546943695161e-15,-2.7380749933921625e-15,1.0631158494674281e-14,1.6518612608504936e-15,1.3502986395998173e-16,4.0029448183087243e-16,4.237333352367025e-16
,163693 Atira (2003 CP20),2457255.0,0.5,tdb,0.4355071778313562,0.15249657809775613,-0.22029844001913157,-0.006439849854647203,0.026769974299912493,-9.019530091370332e-05,SUN,ecliptic,9.632409606450108e-16,2.8830312417328217e-15,1.8671527494729595e-14,6.335627517846062e-16,9.62865193396584e-16,1.6758080042401379e-15,-9.831382774736648e-17,-6.242047000033973e-16,-6.238917770283294e-17,2.1676494250748243e-17,-8.32098306812326e-17,-4.720761688711947e-16,-2.004707964938882e-17,1.5508217786666068e-17,1.2313012346962034e-17,4.9046627015995064e-17,3.028632401068402e-16,1.4052022900098009e-18,-9.672046482013345e-18,-7.882531677368146e-18,5.1903362454451985e-18
,(2010 TK7),2456757.0,0.5,tdb,-0.3965125476909978,-0.902662032061103,0.18940557267014038,0.01296795225776535,-0.010266705881229375,-0.004472211963951022,SUN,ecliptic,1.1973434625230607e-12,-6.198880452017768e-13,3.7870419185707794e-13,4.2878094083766645e-14,3.7257494200580047e-14,1.6197590667594598e-13,7.145921434012161e-15,-3.4651663887913007e-15,3.3460554828969033e-16,4.79277426599663e-17,1.4151258890651688e-14,-8.174699099677494e-15,-3.7674667494726905e-16,8.144434923064462e-17,1.8011622374695987e-16,-5.636073454214531e-15,2.885441946533232e-15,5.441752216269955e-16,-2.4201764960428112e-17,-6.598945649322953e-17,6.370857017618151e-17
,3753 Cruithne (1986 TO),2456900.0,0.5,tdb,1.2153479909055374,0.37410840055740174,-0.4326903730445116,-0.007990656955370296,0.008943144210433643,0.00041658184335045676,SUN,ecliptic,1.447787546430992e-15,3.8466040015169337e-17,1.4011105156396829e-15,9.238628626340127e-16,-5.2820743287864695e-16,1.8705846892057714e-15,2.4692207179354207e-17,1.9401999454213186e-17,8.654985947145259e-18,1.2363315002655836e-18,3.142229999815073e-18,6.734442476366863e-18,5.586257498496885e-18,6.4609343986926515e-19,5.212740832806566e-19,3.9506721392071e-18,-5.425843371347732e-18,1.3523213728652134e-17,-8.780751887673356e-21,2.746615837651897e-20,1.636544936511151e-19
,54509 YORP (2000 PH5),2452655.0,0.5,tdb,0.4595740489986786,1.0134960776866067,0.021074835720159543,-0.014969221440496455,0.0033983650459303676,-0.0004464174671118808,SUN,ecliptic,2.6768368952530804e-13,-4.668121289371095e-14,8.152777778058877e-15,-1.509708813951134e-14,2.788806650229999e-15,7.535751956186604e-15,1.6527960843713237e-15,-2.879518401958318e-16,-8.6258133622318e-17,1.0213926405475396e-17,2.560044870927791e-15,-4.464544237182315e-16,-1.4195229844381619e-16,1.5808461188232152e-17,2.4484972923016292e-17,3.144595132225515e-16,-5.66893682844673e-17,-9.174352010862742e-17,1.8628760837493746e-18,2.9815247447558624e-18,1.1911603347924287e-18
,2063 Bacchus (1977 HB),2457270.0,0.5,tdb,0.08451180879394979,-1.4338749514221256,-0.20721474134951956,0.011432320662639887,0.001372021976154804,-0.0008464795572873398,SUN,ecliptic,1.6557722547947515e-15,4.485162690955819e-16,1.6970186772286534e-16,4.690664709573977e-17,-4.423247682288117e-18,4.813902741803214e-16,2.9636672623531986e-18,1.209356305306679e-18,5.661501804537291e-19,9.643176671199578e-21,9.313264031177347e-18,3.167400535177717e-18,8.962118979641085e-19,2.3008049169849313e-20,6.360164470366694e-20,5.77402032685445e-19,3.609285649676885e-19,4.2847364300435376e-19,3.759997054510588e-21,6.622977930619497e-21,5.325256955559631e-21
,1221 Amor (1932 EA1),2457836.0,0.5,tdb,-0.737326195352819,1.1852982579896623,-0.2231580559116157,-0.009887560594587301,-0.01257478887418509,0.002928100545913143,SUN,ecliptic,3.1710544649826494e-14,2.7994354917022442e-14,4.2478766012962815e-14,-5.611337283427373e-15,-5.218587611645449e-15,9.536316342981304e-15,-2.096089543455228e-16,-1.38262280537082e-16,3.166277675492231e-17,1.575950446376604e-18,2.5089613810181784e-16,3.5161842904780186e-16,-6.828027401205642e-17,-1.3391976121930273e-18,3.0956476954750248e-18,-2.689873301153605e-17,-6.156771643595823e-17,-3.6856914810751335e-17,1.6633860348349935e-19,-6.541996779789745e-20,1.896010536291812e-18
,433 Eros (A898 PA),2453311.0,0.5,tdb,0.3739742611175722,1.1442467113241046,0.18268897282041496,-0.01640089070797594,0.0030043983269206903,-0.0022638951272676193,SUN,ecliptic,2.2107857891256825e-16,-9.129175820121819e-17,2.374353784094806e-16,-9.027699111139133e-17,-8.371011693594509e-17,5.493729782142161e-16,-3.755193824146335e-20,1.8481538764703334e-18,1.3847776707268328e-19,2.1222131729267544e-20,2.4868418672909176e-18,-1.7116772450776434e-18,-2.1083443413956676e-19,-4.020617996593785e-21,3.918482668138404e-20,8.262198897419649e-19,4.296618675033008e-19,-3.3841268370157598e-18,-4.995805874478266e-21,4.177565325190349e-21,5.496485788042766e-20
,3908 Nyx (1980 PA),2454128.0,0.5,tdb,0.18841739861775514,-1.826171394479933,0.01733734978367447,0.010881562966226888,0.007090626849312421,0.00037025159476189874,SUN,ecliptic,1.5122641771843715e-15,-1.1351142260528185e-16,6.586086311835054e-17,-3.7369556125948245e-16,-2.2333699533038357e-17,1.0892134907161147e-15,-6.766366017050983e-18,9.240205440678909e-19,1.23535498971382e-18,3.3427379435009236e-20,7.231567809121174e-18,-4.820682820167784e-19,-1.7165768548274006e-18,-3.2070181869907335e-20,3.48282060748745e-20,-2.744274622939824e-18,1.0329411715360352e-19,-1.99225603865695e-18,1.14262474398174e-20,-1.3251893132968535e-20,1.446246578670108e-20
,434 Hungaria (A898 RB),2457011.0,0.5,tdb,1.0986535681263838,-1.3325862878254835,0.5133487998286831,0.010591473363513276,0.007267422526217955,-0.0033587979925216796,SUN,ecliptic,3.4035581917264647e-15,1.8936488859600647e-15,2.343148024929548e-15,-9.927194372156478e-16,-5.271469646658589e-16,7.412715701639687e-16,-1.5070130211557274e-17,-3.674051836243292e-18,4.0829318189391735e-18,8.456626675763039e-20,1.4875116401083268e-17,1.2805944552788154e-17,-4.2373056262196995e-18,-4.969067347293085e-20,8.452495906764004e-20,-4.548395917978405e-18,-3.5828727267561135e-18,3.532563533852664e-18,1.4365621389720504e-20,-1.7115366793157814e-20,3.2163637680126515e-20
