targetname,mjd_tdb,x,y,z,vx,vy,vz,a,q,Q,e,incl,Omega,w,M,nu,n,P,tp_mjd
594913 'Aylo'chaxnim (2020 AV2),59092.0,0.2350620334641448,-0.4758803704035668,-0.1441404420966112,0.02212401555796387,0.006050247470152032,0.0009745764001468232,0.5382804121501946,0.4445937654854049,0.6319670588149844,0.1740480324939795,16.06900474417836,6.81199262933302,181.748698873032,87.28811902805471,107.0197892026938,2.497367127723423,144.1518133251689,59057.0479426682
163693 Atira (2003 CP20),57349.0,-0.8455854080363936,0.2916765145334362,0.3616281158567583,-0.004710050081368693,-0.01326552187185236,0.003723576726238835,0.736707232223351,0.4972650315602637,0.9761494328864383,0.3250167640413423,25.69477345730213,103.8022684612911,252.5060772291329,156.6369687838786,167.3168092283852,1.559742317925834,230.8073557167653,57248.57509840978
(2010 TK7),56757.0,-0.3949515874100206,-0.9046576587404982,0.189299307226249,0.01297345877482713,-0.01026341821793153,-0.004472340144324559,1.001176129604831,0.808479063569891,1.193873195639771,0.1924706955518391,20.89590474321111,96.56772675688507,45.88668183340936,80.14138406087875,102.2398069415879,0.9845312953033696,365.6562282147374,56675.59945494495
3753 Cruithne (1986 TO),57019.0,-0.4566700607212433,-0.1213889435941199,0.1589992741725308,0.004399351561255793,-0.02900161695781203,0.004900097131421712,0.9740678229586223,0.4807591782671624,1.467376467650082,0.5064417826605647,19.856568451791,126.1781399904704,43.22204533554362,7.714550559040962,26.64706377025171,1.025915188317263,350.9061997517386,57011.48032327881
54509 YORP (2000 PH5),52655.0,0.4610410766074256,1.008772321285728,0.02107631326262628,-0.01496221948246759,0.003402558676564778,-0.0004466181478087324,0.9924426885607561,0.7598183629038197,1.225067014217692,0.2343957271671668,1.834222984169597,281.8352664618278,274.8309825337155,251.4460086030833,228.7578145342143,0.9975555757681738,360.8821490700203,52763.81999362586
2063 Bacchus (1977 HB),57314.0,0.5666529808181074,-1.237771349745876,-0.2236281687371379,0.0099160632337319,0.007515730866145578,0.000145304241053872,1.078526129977076,0.7031727869128193,1.453879473041333,0.3480243386149905,9.431361386112972,33.12837580433565,55.62063571974249,228.5894833825741,205.962984374772,0.8805403220773919,408.8398804391823,57463.23849972803
1221 Amor (1932 EA1),58276.0,2.592672824777073,-0.2056788791973886,-0.03795457951925875,0.002929359426563191,0.00786255417240065,-0.001727002334238393,1.91847043120149,1.080357315258653,2.756583547144328,0.4368652767913385,11.8797489495234,171.4862722756399,26.70432971925172,130.0132291045236,157.3603513327071,0.3711612172851049,969.928923698589,57925.712246188894
433 Eros (A898 PA),53311.0,0.3782155884393346,1.143514561636573,0.1825907661721222,-0.0163996452394634,0.003011568922970477,-0.002263987446107873,1.457304243584987,1.130712681405043,1.783895805764931,0.2241066432198982,10.80889114870137,304.2627726295272,179.5167312537695,325.8109026145899,307.4250702828055,0.5606217090190952,642.1442377425632,53371.98425522121
3908 Nyx (1980 PA),54297.0,0.7969413622457872,0.6923873715719473,0.02603689621419606,-0.01209102302262889,0.01620962916644655,-0.0005461241395839441,1.950248447496799,1.04696395158316,2.853532943410439,0.4631638071923768,2.176664065523102,261.4419589175124,126.1494913008706,4.373491634219723,13.3724349294175,0.3621265307463946,994.1276582469351,54284.92275278689
434 Hungaria (A898 RB),57115.0,1.825476527339311,-0.2994874502920747,0.06195111513381972,0.002806686670691271,0.01167212498562839,-0.00491328214859869,1.950439354329016,1.804033021420482,2.09684568723755,0.07506325822619618,22.49919030439111,175.3206839303052,124.56673802616,44.02034994219077,50.41544078727675,0.3620733652349824,994.2736322688723,56993.421463247854
1876 Napolitania (1970 BA),57580.0,0.3262757814492448,1.885007293376171,0.568267777009433,-0.01135770730748664,0.00239933532237067,-0.003416279733076157,1.968450485030443,1.872857289528268,2.064043680532618,0.04856266196642325,23.07686307666232,304.3831143013368,242.5923847883883,256.1336152763287,250.8160643167746,0.35711534584692,1008.077653863457,57870.848281743005
2001 Einstein (1973 EB),57623.0,-1.115224939295111,-1.227920506529729,-0.5378038304700662,0.01025050536891022,-0.008341956646176412,-0.003267121293603195,1.917697572658464,1.737857143751809,2.097538001565119,0.09377934845969785,22.72640627945848,357.033026496568,216.7961226282976,13.37124312763595,16.17330416762688,0.371385614516511,969.3428768603937,57586.996335331816
2 Pallas (A802 FA),57258.0,0.2010385199447941,-2.695568975603014,1.84634182913403,0.008553897710574717,-0.0009378275242079031,-6.36086385269785e-05,2.769631794863389,2.126761326223385,3.412502263503393,0.2321140556778281,34.8437760089574,173.1348335471285,309.915018020908,133.3403837704527,149.2573913918228,0.2139745890829596,1682.442768287898,56634.84009890212
6 Hebe (A847 NA),57520.0,-2.825861830265804,-0.3388188019162383,0.5587186661352821,0.0009515734466503333,-0.00884800515820363,0.001584478716137119,2.416521784802767,1.920748995454863,2.912294574150671,0.205159660660112,14.75837124264617,138.6611438776531,239.3458720361282,164.8799115247866,169.7832946549013,0.2625482835427741,1371.176360942954,56892.00156367477
6522 Aci (1991 NQ),57757.0,-0.4311864967253171,-1.799444589779379,-0.4640892847278312,0.012357466243023,-0.004204106847180781,0.003863199271453398,2.36403395426501,1.905976718849916,2.822091189680104,0.1937608529643587,22.1473629687742,294.5640057470642,313.7722420874586,4.004031635503975,6.039476297038459,0.2713405433720086,1326.746071656675,57742.24351876881
10297 Lynnejones (1988 RJ13),57592.0,-1.464715920364148,-1.955557749745529,-0.1725042432169759,0.009157032358039698,-0.00596621155007776,-0.002651505852601635,2.566090824095705,2.398793523709866,2.733388124481543,0.0651953932475458,14.44618976478298,37.26038808754526,244.8916329012486,316.9229362727419,311.5065557818573,0.2399314727094319,1500.428417892373,57771.53902937705
17032 Edlu (1999 FM9),57662.0,0.7140246325578139,2.76873360975103,-0.02955605338565135,-0.01003412572204419,0.0001733275068883598,0.0004081819253067515,2.785723549745817,2.132223311382883,3.43922378810875,0.2345890490183643,2.329676736398118,90.25825782868377,95.05368341669912,276.8752193061268,250.2155724101028,0.2121232301866948,1697.126711125204,58053.870237978175
202930 Ivezic (1998 SG172),57958.0,0.3551530632196502,2.633244426116275,0.2101727641392361,-0.01029720970878258,0.002784873718305938,2.023492464658206e-05,2.72969619058073,2.370640138520472,3.088752242640989,0.1315370015532282,4.548145270534578,346.2328748359693,8.859363299721805,72.2674861309087,87.20745065768264,0.2186874118622025,1646.185287641706,57627.53979876777
911 Agamemnon (A919 FB),57514.0,-2.734333884330036,-4.454676875252922,-2.059216892045907,0.006044388066416772,-0.003524125265313199,-0.0004039664320460937,5.256527205207033,4.895127292724323,5.617927117689743,0.0687526000292957,21.77998988013602,338.0642776573465,81.13331456505188,179.9251037546271,179.9345850790768,0.08183646862883305,4399.016795712064,55315.40679614805
1143 Odysseus (1930 BH),57762.0,-1.862799704836842,-5.333690859448295,0.1521919722095702,0.006441525959137022,-0.002564949337386971,0.0003391069273043697,5.228687359009932,4.747112141753886,5.710262576265977,0.09210250760665739,3.140409425113412,221.3424569368339,235.5701631951102,148.9206658321201,153.8723917248137,0.0824909382537435,4364.115715263584,55956.70272753993
1172 Aneas (1930 UA),57345.0,-1.63603776282337,5.402710427718803,-1.076283348603229,-0.006304734965923016,-0.002053748665111422,-0.001504131613922,5.208118172909912,4.658224421225593,5.75801192459423,0.1055839620814668,16.66873904027307,247.2958169019453,51.25266128180692,167.1239895857342,169.5109866050337,0.08298011081958273,4338.389000018574,55330.97533872817
3317 Paris (1984 KF),57688.0,-3.367742730612032,4.740258654094603,-0.5578693738261742,-0.004831110084364228,-0.003435347085812182,0.003083265153166437,5.216510301531808,4.550505249835885,5.882515353227732,0.1276725268807296,27.87227426098509,135.8440528907946,150.3902855320595,202.744062029761,197.8223672582805,0.08277994838238315,4348.879251978533,59587.68634969182
5145 Pholus (1992 AD),55372.0,-6.300082204369853,-21.31722647923253,7.326676181079645,0.001930840611657864,-0.002641762473621557,-0.0001785855732708376,20.32133614944647,8.685739716499544,31.9569325823934,0.5725802844545665,24.68773201792476,119.344134817165,354.7983940009751,73.73492693199847,136.6559754365532,0.01076630962718624,33437.64135214506,48523.32766144816
5335 Damocles (1991 DA),48587.0,0.2965254266912729,-2.724253366193718,-3.156601230219964,0.006019890906953216,-0.008464042073745369,-0.002944465351359192,11.74857358556145,1.5756533539033,21.9214938172196,0.8658855611340154,61.9266175954178,314.1181218490032,191.1108353164256,8.777942745970215,110.0371519209168,0.02449162173289723,14698.90413652954,48228.59405850293
15760 Albion (1992 QB1),56220.0,36.21341601010906,19.54354737908989,0.7599520584650935,-0.001244179222519977,0.002469287791783401,9.374420655251171e-05,43.93249952857084,40.88457617048572,46.98042288665598,0.06937741741971594,2.185516285988275,359.4132961819611,2.82810395151859,22.7872065993449,26.13097496400097,0.00338700927355488,106288.460090975,49492.174724391196
15788 (1993 SB),57437.0,15.99310775294213,21.91940156312433,0.7871758926874108,-0.003231601981247656,0.001961777664383043,5.625670814243481e-05,39.31666193446693,26.7450134777133,51.88831039122056,0.3197537084330321,1.937483945043127,354.8369282199114,79.15100973016801,350.0908372236485,339.9108065904132,0.004000647600395433,89985.43134976864,59913.88968540309
15789 (1993 SC),56742.0,30.58599004890861,21.35351664568995,2.175991971950328,-0.001213911920286245,0.002615234663374095,0.0002247836340772294,39.5273268815025,32.1875060660741,46.86714769693091,0.1856897846250057,5.156887918958337,354.6524192241262,316.9913356267332,62.70618857058979,83.39159781768583,0.003968707458996916,90709.63373324304,40941.84611653909
1I/'Oumuamua (A/2017 U1),58080.0,1.891160191883445,0.6875120603422388,0.258939713700702,0.0210594865646723,0.00390906388113403,0.008115600602499821,-1.274179276310088,0.2588464098486072,9.999999999999998e+99,1.20314755910817,123.0322316417721,24.77775430088773,242.0634043894981,51.23530887312704,126.6931222794189,0.685724157175505,9.999999999999998e+99,58005.28291684482
