targetname,mjd_tdb,x,y,z,vx,vy,vz,a,q,Q,e,incl,Omega,w,M,nu,n,P,tp_mjd
594913 'Aylo'chaxnim (2020 AV2),59091.0,0.2127380745372033,-0.3841076777517861,-0.3245626991271549,0.0225189702381014,0.004496356805194321,0.002740461070154688,0.5382429807842016,0.4452561924897118,0.6312297690786915,0.1727598716828807,39.44137489208641,2.950220198058804,186.0248553502691,84.93344693081126,104.6395486773004,2.497627646182436,144.1367773736214,59056.994351855945
163693 Atira (2003 CP20),57696.0,0.2924081515150447,-0.3957407261233009,-0.259285109657001,0.01590880192577652,0.02018090330514813,-0.001569630756839278,0.7358373005973847,0.5044099558052281,0.9672646453895414,0.3145088521664692,29.5224486724079,57.94302918316463,303.4391191271558,332.2807361874673,307.6563957069685,1.562509105076746,230.398657409627,57713.740225463174
706765 (2010 TK7),56757.0,-0.3949515845665123,-0.9053061165296613,-0.1861734350724487,0.0129734587820318,-0.007637507314739828,-0.008185845150165209,1.001176129625715,0.8084790619895746,1.193873197261856,0.1924706971471436,29.14774696760081,46.6758323214845,100.1122721185025,80.14138440985124,102.2398074631075,0.9845312952723039,365.6562282262753,56675.59945458919
3753 Cruithne (1986 TO),57575.0,1.447224051474343,0.03681328440718935,-0.4105504228570503,-0.0008139815026924776,0.009608451330681896,0.002178010921611595,1.000722707559372,0.486866740702399,1.514578674416344,0.5134848674616352,19.42131004293689,55.00381554152697,118.4960066416634,196.924724444108,186.3676875192469,0.9852004997982645,365.407853603115,57740.52496226784
54509 YORP (2000 PH5),52655.0,0.4610410766074256,0.9171468335444076,0.4206037242968821,-0.01496221948246759,0.003299441047508975,0.000943695974046319,0.9924426885611707,0.7598183629043599,1.225067014217981,0.234395727166942,23.87924465952751,355.5615770283042,200.7319714059822,251.446008603184,228.7578145343116,0.9975555757672848,360.8821490703418,52763.81999362586
2063 Bacchus (1977 HB),58536.0,0.5181673994600996,-1.069235976911479,-0.7076148590032496,0.01016751519583561,0.00631848316448989,0.002780379935843284,1.067806923157956,0.6905608053075271,1.445053041008385,0.3532905712343134,31.78185446433196,9.84238783615367,80.31140130114714,224.4802757668361,203.3987434463663,0.8938325312467514,402.7600108689917,58687.616460014135
1221 Amor (1932 EA1),58864.0,-1.106199140014346,0.274188319047637,0.09325871012118864,-0.001528748841501107,-0.01868511521223751,-0.003819713487470021,1.946883862615483,1.086796559663601,2.806971165567366,0.4417763788932042,11.84495788612131,9.043711073574698,189.6369922666507,348.1191602040773,326.9518969944666,0.3630656712862123,991.5561521546455,58896.72366609005
433 Eros (A898 PA),53311.0,0.3782155884393346,0.9765236623490839,0.6223877227569156,-0.0163996452394634,0.003663622952888765,-0.0008792345494816585,1.457304243586061,1.130712681405234,1.783895805766887,0.2241066432203382,30.77232289621028,342.3660347241744,139.5341922056749,325.8109026146993,307.425070282913,0.5606217090183274,642.1442377434428,53371.98425522121
3908 Nyx (1980 PA),54884.0,-1.909251350993284,-1.732418244747199,-0.8176870388875108,0.006897973658991727,-0.003942957403542683,-0.001400327785619283,1.92382124140185,1.037902010694342,2.809740472109358,0.4604997655925435,23.20941069072919,354.516331248034,32.74386804108867,220.6557902931019,197.3543600931427,0.3696138035256019,973.9895982403805,55260.99947452592
434 Hungaria (A898 RB),57665.0,-2.006310520386963,0.1100186790726584,0.06570683597649066,0.0001276129951357167,-0.01189537051030627,-0.0002081952338211481,1.933917268645666,1.785222421373756,2.082612115917576,0.07688790502193578,2.069938039576376,61.65316051045129,239.8566332659066,242.8237607216926,235.3370518186496,0.3667232275476215,981.6667529008687,57984.52227313677
1876 Napolitania (1970 BA),58121.0,0.4695244175203644,-1.610801731043509,-1.016378501697649,0.01134540138261662,-0.0003312620522746301,0.004610534389522699,1.949227978190081,1.853158863291736,2.045297093088425,0.04928572541193849,40.98568966119754,330.4539706943946,207.5818619421679,94.64303214147941,100.2354011553331,0.3624109413247991,993.3474929979049,57859.85161470203
2001 Einstein (1973 EB),58356.0,-1.094346789863369,1.112072313150972,1.120310872097762,-0.009501532656841918,-0.005485156353319569,-0.005969604911608215,1.942656316020383,1.747926463114856,2.13738616892591,0.1002389621363595,46.04471553807614,358.354202275106,215.1818192932902,282.1572161816327,270.7013324300467,0.3642514536848449,988.3282451124454,58569.70617201598
2 Pallas (A802 FA),57870.0,2.967656643697677,0.1431759054902637,-0.234024733384618,-0.002668896416465694,0.00908193237031004,-0.001608032576479134,2.778222342689114,2.140759114670244,3.415685570707983,0.2294500401295643,11.81880277094974,160.6501186476535,323.1683022045927,263.9856106952132,239.3751307092508,0.2129829096720677,1690.276466568591,58320.807951927185
6 Hebe (A847 NA),57972.0,0.3503151168049967,-2.321349854012026,-0.5645967128606519,0.01024599555100796,0.004091776206799242,-0.0008974191395049796,2.410864103269771,1.923542092601235,2.898186113938307,0.2021358275680483,15.5479479928316,38.76850773627311,342.8213996908432,281.145307898681,257.9115546490805,0.263473026068499,1366.363780656641,58271.28943117196
6522 Aci (1991 NQ),57955.0,1.766667682094196,-1.309222595383466,-0.08392370083398074,0.007568526934664649,0.005995106614544265,0.007182247027874674,2.37996188474027,1.903955300799449,2.85596846868109,0.2000059694202911,38.01109839179789,326.2579236510118,277.4857947648413,57.23777789031328,78.96351071712283,0.2686211799856637,1340.177271275531,57741.9200861468
10297 Lynnejones (1988 RJ13),57955.0,2.120438836679457,-0.8084047628677349,-0.9627973559478243,0.005959045646984924,0.008257830754825321,0.004672821766561969,2.579621520552318,2.401577335168946,2.757665705935689,0.06901949916484282,35.95099690544714,14.93441419507679,265.2267686973889,46.94301614761152,53.07089455918256,0.2380462082845921,1512.31142303938,57757.79872346716
17032 Edlu (1999 FM9),58019.0,-2.118805106833489,0.1999543065578884,0.1805624498314131,-0.00100554635185651,-0.0119552384809989,-0.005136230880890262,2.765602462777899,2.125502733923409,3.40570219163239,0.2314503756304672,23.5384509649045,5.839933355917982,180.8256632998346,352.0529091375011,346.9533872790636,0.2144423833418646,1678.772611970494,58056.0593291251
202930 Ivezic (1998 SG172),58190.0,-1.88414593014794,2.025622255168905,1.030122073188073,-0.007955801111903712,-0.004660063881525859,-0.002634587600135514,2.723442462786439,2.368218510701301,3.078666414871577,0.1304319650365212,27.87973264875689,357.6664910591028,356.1778274643828,124.3262871890305,135.5559540315046,0.2194410883368882,1640.531418834946,57623.44116577599
911 Agamemnon (A919 FB),57944.0,0.1446537006680456,-4.02853466813263,-3.831916522815757,0.007001032080135132,-0.0003590278301026533,0.001013167812236332,5.255411373769437,4.895130399722068,5.615692347816807,0.06855428593955323,44.35010340160568,348.5623498058214,70.00351087043778,213.8101149664357,209.7335022709318,0.08186253334900738,4397.616165446523,59729.79722680105
1143 Odysseus (1930 BH),58065.0,0.1775990962141222,-5.326880059049713,-2.046491307059407,0.006858062858391847,4.49416677727045e-05,0.0002835205894267756,5.227329747273933,4.742532395520037,5.712127099027829,0.09274282955015802,21.17763200704444,354.2500386777094,102.8580215577084,173.1542530468745,174.2897388508244,0.08252307644158575,4362.41613283561,55966.74748066394
1172 Aneas (1930 UA),58271.0,-5.240139762286605,1.204375858988892,-1.136915887841535,-0.0004162429659488354,-0.006785265564006042,-0.002172706240723354,5.207509211779703,4.659000487433081,5.756017936126325,0.1053303416354716,22.6238901146799,316.5667073784376,339.229889292211,243.4457055800099,233.3031552133868,0.08299466666687666,4337.628120671478,59675.35884739179
3317 Paris (1984 KF),58390.0,-5.099308497405802,0.2340067638859318,1.769398036415014,0.0004426334908826839,-0.007240174330025704,-0.0004885288317480284,5.213415514042826,4.547194109329814,5.87963691875584,0.1277898151257048,19.18612389532314,82.33838428699428,208.1707989329135,260.5199883267537,246.5850649431156,0.08285366906416965,4345.009751121368,59590.671168783214
5145 Pholus (1992 AD),55369.0,-6.305874097967457,-22.46549688411481,-1.753767481313247,0.001930403727564747,-0.00235429057953651,-0.00121480356823913,20.32133619147776,8.685741452729305,31.95693093022621,0.5725801998998532,23.78860463211374,64.50396359905551,54.07233742540619,73.70263563768977,136.6360054537179,0.01076630959378092,33437.64145589417,48523.326931091025
5335 Damocles (1991 DA),48587.0,0.2965254266912729,-1.243829736246245,-3.979770761874808,0.006019890906953216,-0.006594365722056492,-0.006068296726038779,11.74857358559015,1.575653353903899,21.92149381727641,0.8658855611342922,79.19658380869718,319.8439980357421,174.2098076014586,8.77794274593627,110.0371519208839,0.024491621732801,14698.9041365873,48228.59405850293
15760 Albion (1992 QB1),56220.0,36.21341601010906,17.62856258105329,8.471219074949255,-0.001244179222519977,0.002228237951180139,0.001068234902927834,43.93249952859723,40.88457617048778,46.98042288670667,0.06937741742022761,25.62470203461991,359.9482658933239,2.288472739812791,22.78720659915203,26.13097496380856,0.003387009273550933,106288.4600910988,49492.17472444009
15788 (1993 SB),57437.0,15.99310775294213,19.79753715764639,9.441256974743135,-0.003231601981247656,0.001777518183472428,0.0008319648605007842,39.31666193450639,26.74501347771396,51.88831039129882,0.3197537084336979,25.36947913791396,359.5931329487376,74.35850509412555,350.0908372236818,339.9108065904458,0.004000647600388352,89985.43134992792,59913.8896853989
15789 (1993 SC),56742.0,30.58599004890861,18.72590858658313,10.4903747219383,-0.001213911920286245,0.002310017097083987,0.001246515558604084,39.52732688152582,32.1875060660868,46.86714769696485,0.1856897846251648,28.57754564188597,358.9965778946902,312.5464717702563,62.70618857042521,83.3915978175238,0.003968707458992356,90709.6337333473,40941.84611656191
1I/'Oumuamua (A/2017 U1),58080.0,1.891160191883445,0.5277796799465398,0.5110491345095496,0.0210594865646723,0.000358295464081305,0.009000854288705094,-1.274179276308568,0.2588464098487066,9.999999999999998e+99,1.20314755910849,143.4090004057311,36.11651560288573,258.3036450133411,51.2353088732101,126.6931222793986,0.6857241571765508,9.999999999999998e+99,58005.28291684482
