targetname,mjd_tdb,x,y,z,vx,vy,vz,a,q,Q,e,incl,Omega,w,M,nu,n,P,tp_mjd
594913 'Aylo'chaxnim (2020 AV2),59091.0,0.2184969861179754,-0.488165331818421,-0.1450698595270714,0.0225265741518987,0.005220079188059638,0.0007255527925032393,0.5554455422469977,0.4571554422370643,0.653735642256931,0.1769572217868756,15.8681003833299,6.709403421321933,187.3248177863985,79.11166766236121,99.45326069204324,2.38090378478785,151.2030861138211,59057.77242139401
163693 Atira (2003 CP20),57696.0,0.2888849036826195,-0.4697682431794915,-0.08031397745354059,0.01591096461699323,0.01788446535131942,-0.009467655023221206,0.7410891805022722,0.502354596342904,0.9798237646616405,0.3221401559223497,25.61905381032924,103.9096602309078,252.9325589798731,332.1191821257271,306.5363054523419,1.544892855055194,233.0258689604324,57714.047088367864
706765 (2010 TK7),56757.0,-0.3965125448437672,-0.9026620354342219,0.189405570610769,0.01296795226500331,-0.01026670582614981,-0.004472211969728553,0.9999463126152942,0.8093312188127235,1.190561406417865,0.1906253279778885,20.88682914618199,96.51335303766568,45.8850191180012,80.28087988289906,102.1654279930238,0.9856870459730145,365.2274841906118,56675.553378365934
3753 Cruithne (1986 TO),57575.0,1.443505732603436,-0.1322395144285081,-0.3911536614176727,-0.0008129820886807906,0.009674931247433604,-0.00182374843606581,0.9977119437671569,0.4839968087043144,1.511427078829999,0.5148932397492996,19.80659955630382,126.2401144798724,43.82055602336723,197.1405858308848,186.4312994262713,0.9890000578725624,364.004023189236,57739.67078325478
54509 YORP (2000 PH5),52655.0,0.4595740489936325,1.013496077687753,0.02107483572000897,-0.0149692214405297,0.003398365045857048,-0.0004464174671134055,1.000041727521702,0.7701169616859214,1.229966493357483,0.2299151720454496,1.833143913787902,281.8868873799123,274.1048068048547,252.0405783765144,229.6021987208409,0.9855459813684824,365.279760463455,52764.54275463987
2063 Bacchus (1977 HB),58536.0,0.5193396531634591,-1.269997146724213,-0.2238597166757563,0.01017563687291848,0.006901576442359022,3.739041008596071e-05,1.077894583394408,0.7012191620462576,1.454570004742558,0.3494547863502182,9.432233406619623,33.09801097239141,55.32727454400955,225.1787047559206,203.9591931013227,0.8807236115387448,408.7547958104935,58689.080141690094
1221 Amor (1932 EA1),58864.0,-1.102274814594655,0.2812504270676845,-0.02352922595392375,-0.001520435281445824,-0.01866051122253306,0.003927764182133354,1.919277655985815,1.083954775010432,2.754600536961198,0.4352277422551087,11.87653722939578,171.3302591848434,26.68435071333624,348.1198282656044,327.5488830103999,0.3706784709687113,971.1920928647279,58896.04980236199
433 Eros (A898 PA),53311.0,0.3739742611161106,1.144246711324373,0.1826889728202128,-0.01640089070798141,0.003004398326903981,-0.00226389512727029,1.458269315549998,1.133355399799006,1.78318323130099,0.2228078944584036,10.82918382607819,304.4010273379536,178.6653267763727,326.3704760365538,308.3386473947116,0.5596898969956455,643.2133256870292,53371.08599430509
3908 Nyx (1980 PA),54884.0,-1.90684799566871,-1.919071866983528,-0.06107315825372693,0.006903296290450003,-0.004171306799981598,0.0002835368889612853,1.926894021595037,1.042865560552249,2.810922482637826,0.4587841630807543,2.181671198360956,261.5237240554044,126.2463451878661,220.612871562133,197.3931575586838,0.3684828926911343,976.9788696859673,55262.27299774997
434 Hungaria (A898 RB),57665.0,-2.009896809992281,0.12374294738024,0.01668205547612018,0.0001295119451900459,-0.01100346948853088,0.004540653286178052,1.944514819980318,1.80131633344321,2.087713306517426,0.07364227058889532,22.51050850636866,175.3315305819203,123.7954371860984,244.7695925925719,237.4443980632218,0.3634855810803289,990.4106757963567,57982.0150713129
