targetname,mjd_tdb,x,y,z,vx,vy,vz,a,q,Q,e,incl,Omega,w,M,nu,n,P,tp_mjd
594913 'Aylo'chaxnim (2020 AV2),59091.0,0.2184969861179754,-0.3901774591333306,-0.3272800111782744,0.0225265741518987,0.004500720691344981,0.002742109925371662,0.5554455422469977,0.4571554422370643,0.653735642256931,0.1769572217868756,39.23997381582373,2.894698914288921,191.5380339211082,79.11166766236121,99.45326069204324,2.38090378478785,151.2030861138211,59057.77242139401
163693 Atira (2003 CP20),57696.0,0.2888849036826195,-0.3990568709138876,-0.260549709366122,0.01591096461699323,0.0201746930380148,-0.001572371890853948,0.7410891805022726,0.5023545963429041,0.979823764661641,0.3221401559223497,29.70028992963944,57.89754465204091,304.1287847976732,332.1191821257271,306.5363054523419,1.544892855055193,233.0258689604326,57714.047088367864
706765 (2010 TK7),56757.0,-0.3965125448437672,-0.9035174348169677,-0.1852821237313787,0.01296795226500331,-0.007640574673990322,-0.008187035304312508,0.999946312615294,0.8093312188127233,1.190561406417865,0.1906253279778885,29.15816978414736,46.6374456462281,100.0933345148124,80.28087988289911,102.1654279930239,0.9856870459730149,365.2274841906116,56675.553378365934
3753 Cruithne (1986 TO),57575.0,1.443505732603436,0.03426460858618163,-0.4114783258145861,-0.0008129820886807906,0.009602021337306478,0.002175210159623837,0.9977119437671569,0.4839968087043144,1.511427078829999,0.5148932397492996,19.45789757812649,55.12742099166304,118.2095551863243,197.1405858308848,186.4312994262713,0.9890000578725624,364.004023189236,57739.67078325478
54509 YORP (2000 PH5),52655.0,0.4595740489936325,0.9214813830415495,0.4224813710649472,-0.0149692214405297,0.003295513640363453,0.0009422119644885355,1.000041727521702,0.7701169616859214,1.229966493357483,0.2299151720454496,23.88053697430443,355.5652598299656,200.0540226219078,252.0405783765144,229.6021987208409,0.9855459813684824,365.279760463455,52764.54275463987
2063 Bacchus (1977 HB),58536.0,0.5193396531634591,-1.076153319571502,-0.7105631275354986,0.01017563687291848,0.006317199534880523,0.002779594479235546,1.077894583394408,0.7012191620462577,1.454570004742558,0.3494547863502182,31.73746950916667,9.795136081587854,79.7166116145118,225.1787047559206,203.9591931013227,0.8807236115387448,408.7547958104935,58689.080141690094
1221 Amor (1932 EA1),58864.0,-1.102274814594655,0.2674016103651284,0.09028735223652201,-0.001520435281445824,-0.01868305918125499,-0.003819071901189577,1.919277655985814,1.083954775010431,2.754600536961197,0.4352277422551087,11.82715764314073,8.705695591557033,189.6738481852633,348.1198282656044,327.5488830103998,0.3706784709687115,971.1920928647272,58896.04980236199
433 Eros (A898 PA),53311.0,0.3739742611161106,0.9771563321932184,0.622769058015444,-0.01640089070798141,0.003657007337298758,-0.0008820021479138534,1.458269315549998,1.133355399799006,1.78318323130099,0.2228078944584036,30.80453973175977,342.37947733294,138.8070369030884,326.3704760365538,308.3386473947116,0.5596898969956455,643.2133256870292,53371.08599430509
3908 Nyx (1980 PA),54884.0,-1.90684799566871,-1.736420506585055,-0.8193964764493625,0.006903296290450003,-0.003939883661663119,-0.001399110545859251,1.926894021595037,1.042865560552249,2.810922482637825,0.4587841630807543,23.21254774054123,354.5181999549214,32.80443897323766,220.612871562133,197.3931575586838,0.3684828926911343,976.9788696859673,55262.27299774997
434 Hungaria (A898 RB),57665.0,-2.009896809992281,0.1068961939465514,0.06452760433332755,0.0001295119451900459,-0.01190165402650144,-0.0002109608583875578,1.944514819980317,1.80131633344321,2.087713306517425,0.07364227058889532,2.044585373704076,60.85606271453315,238.6407237219325,244.7695925925719,237.4443980632219,0.3634855810803291,990.4106757963564,57982.0150713129
